/* DATA DESCRIPTION:
Citation:	Bertrand, Philippe (2003): Density and sound velocity of sediment core MD96-2077. PANGAEA, https://doi.org/10.1594/PANGAEA.124286
Related to:	Bertrand, Philippe; Shipboard Scientific Party (1997): Les rapport de campagne à la mer à bord du Marion Dufresne - Campagne Nausicaa - IMAGES II - MD105 du 20/10/96 au 25/11/96. Institut Francais pour la Recherche et la technologie Polaires, 381
Project(s):	International Marine Global Change Study (IMAGES)
Coverage:	LATITUDE: -33.168333 * LONGITUDE: 31.246667
	DATE/TIME START: 1996-09-25T00:00:00 * DATE/TIME END: 1996-09-25T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.26 m * MAXIMUM DEPTH, sediment/rock: 35.38 m
Event(s):	MD96-2077 (MD962077) * LATITUDE: -33.168333 * LONGITUDE: 31.246667 * DATE/TIME: 1996-09-25T00:00:00 * ELEVATION: -3781.0 m * Recovery: 35.54 m * LOCATION: Natal Valley * CAMPAIGN: MD105 (IMAGES II) (URI: http://www.ifremer.fr/sismer/UK/catal/campagne/campagnea.htql?crno=96200070) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: Top soft brown mud, Forams, CC: gray mud (Nannofossil foraminiferal ooze), core liner disrupted at 2405 cm.
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	Density, wet bulk [g/cm**3] (WBD) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
	Susceptibility [sensor values] (Suscept) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
	Velocity, compressional wave [m/s] (Vp) * PI: Bertrand, Philippe (bertrand@geocean.u-bordeaux.fr) * METHOD/DEVICE: Multi-Sensor Core Logger 17, GEOTEK
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	5059 data points
*/
Depth [m]	WBD [g/cm**3]	Suscept [sensor values]	Vp [m/s]
16.78		15	
16.80		15	
16.82		15	
16.84		15	
16.86		16	
16.88		16	
16.90		16	
16.92		16	
16.94		16	
16.96		17	
16.98		17	
17.00		17	
17.02		16	
17.04		16	
17.06		15	
17.08		14	
17.10		14	
17.12		14	
17.14		13	
17.16		13	
17.18		13	
17.20		14	
17.22		13	
17.24		13	
17.26		13	
17.28		13	
17.30		12	
17.32		12	
17.34		11	
17.36		12	
17.38		12	
17.40		11	
17.42		11	
17.44	1.608	11	1527.1
17.46	1.613	10	1527.0
17.48	1.615	10	1529.2
17.50	1.632	11	1528.8
17.52	1.632	10	1528.8
17.54	1.609	8	1528.2
17.56	1.628	8	1530.1
17.58	1.637	8	1531.0
17.60	1.629	8	1532.4
17.62	1.636	8	1532.2
17.64	1.639	7	1535.6
17.66	1.627	8	1537.1
17.68	1.642	8	1537.9
17.70	1.631	9	1539.4
17.72	1.655	9	1539.9
17.74	1.667	8	1540.4
17.76	1.678	8	1544.8
17.78	1.672	9	1543.8
17.80	1.680	9	1540.0
17.82	1.661	9	1542.9
17.84	1.677	8	1542.5
17.86	1.660	7	1539.4
17.88	1.664	7	1538.1
17.90	1.661	7	1537.0
17.92	1.654	6	1538.8
17.94	1.661	8	1539.8
17.96	1.646	8	1542.5
17.98	1.663	8	1540.9
18.00	1.681	7	1545.1
18.02	1.633	6	1541.7
18.04	1.675	6	1539.4
18.06	1.672	7	1538.3
18.08	1.673	6	1534.8
18.10	1.666	7	1534.9
18.12	1.649	8	1534.2
18.14	1.655	8	1535.2
18.16	1.653	9	1537.6
18.18	1.652	9	1534.9
18.20	1.650	9	1536.7
18.22	1.661	8	1532.5
18.24	1.645	8	1535.5
18.26	1.639	9	1532.9
18.28	1.622	10	1536.9
18.30	1.624	9	1538.0
18.32	1.625	7	1534.4
18.34	1.605	7	1535.0
18.36	1.602	6	1535.0
18.38	1.618	6	1532.3
18.40	1.631	6	1531.9
18.42	1.627	6	1533.2
18.44	1.632	7	1534.2
18.46	1.632	7	1533.1
18.48	1.627	8	1533.2
18.50	1.614	8	1532.4
18.52	1.602	8	1536.2
18.54	1.625	8	1536.8
18.56	1.634	9	1534.2
18.58	1.622	9	1534.5
18.60	1.612	8	1534.8
18.62	1.622	8	1536.9
18.64	1.620	8	1536.9
18.66	1.611	9	1533.6
18.68	1.599	9	1535.1
18.70	1.591	8	1535.3
18.72	1.589	8	1537.7
18.74	1.616	8	1537.0
18.76	1.619	7	1535.8
18.78	1.601	6	1536.1
18.80	1.616	6	1535.7
18.82	1.601	8	1534.9
18.84	1.630	8	1533.1
18.86	1.608	7	1530.0
18.88	1.617	7	1535.6
18.90	1.638	6	1533.9
18.92	1.647	7	1532.5
18.94	1.638	6	1534.3
18.96	1.647	7	1532.5
18.98	1.645	7	1532.6
19.00	1.631	7	1532.2
19.02	1.644	8	1533.0
19.04	1.640	9	1536.6
19.06	1.641	11	1538.9
19.08	1.643	13	1548.4
19.10	1.637	16	1561.8
19.12	1.757	16	1534.4
19.14	1.657	13	1534.6
19.16	1.656	10	1537.0
19.18	1.671	8	1534.3
19.20	1.648	7	1534.8
19.22	1.659	8	1533.4
19.24	1.646	7	1531.4
19.26	1.626	8	1535.4
19.28	1.635	8	1530.5
19.30	1.618	7	1529.8
19.32	1.601	7	1527.9
19.34	1.603	8	1530.1
19.36	1.610	8	1530.0
19.38	1.624	8	1528.4
19.40	1.597	8	1529.1
19.42	1.590	8	1528.1
19.44	1.590	8	1529.3
19.46	1.591	9	1527.0
19.48	1.606	9	1531.2
19.50	1.588	9	1530.5
19.52	1.618	9	1527.4
19.54	1.608	9	1530.0
19.56	1.598	9	1531.8
19.58	1.588	10	1538.0
19.60	1.579	11	1539.4
19.62	1.604	10	1538.2
19.64	1.610	11	1535.7
19.66	1.609	10	1534.7
19.68	1.619	11	1534.4
19.70	1.602	10	1535.9
19.72	1.626	11	1536.6
19.74	1.609	11	1534.5
19.76	1.618	12	1533.1
19.78	1.619	12	1534.2
19.80	1.628	11	1531.7
19.82	1.607	11	1531.8
19.84	1.568	11	1532.8
19.86	1.506	11	1534.4
19.88	1.542	11	1533.5
19.90	1.517	12	1534.1
19.92	1.533	13	1533.7
19.94	1.542	13	1533.5
19.96	1.547	14	1533.4
19.98	1.553	16	1534.4
20.00	1.558	17	1547.3
20.02	1.567	19	1639.5
20.04	1.716	23	1551.5
20.06	1.645	21	1536.7
20.08	1.585	17	1537.1
20.10	1.566	14	1531.7
20.12	1.533	14	1534.9
20.14	1.566	13	1536.4
20.16	1.585	14	1537.1
20.18	1.595	14	1535.7
20.20	1.618	13	1535.1
20.22	1.634	14	1535.8
20.24	1.638	13	1533.4
20.26	1.645	13	1534.4
20.28	1.656	12	1531.7
20.30	1.622	13	1535.0
20.32	1.620	12	1535.0
20.34	1.627	11	1533.7
20.36	1.639	12	1534.5
20.38	1.640	12	1532.2
20.40	1.630	12	1533.6
20.42	1.633	12	1533.5
20.44	1.631	12	1535.1
20.46	1.632	13	1535.1
20.48	1.637	12	1535.0
20.50	1.641	13	1537.2
20.52	1.636	12	1536.2
20.54	1.643	12	1537.2
20.56	1.644	13	1538.3
20.58	1.655	12	1539.2
20.60	1.651	13	1539.3
20.62	1.653	13	1540.5
20.64	1.655	13	1541.6
20.66	1.646	14	1537.1
20.68	1.689	14	1545.4
20.70	1.675	14	1550.6
20.72	1.685	16	1553.6
20.74	1.676	17	1563.9
20.76	1.701	19	1560.4
20.78	1.652	22	1677.0
20.80	1.767	25	1689.0
20.82	1.833	26	1684.1
20.84	1.802	23	1546.1
20.86	1.673	17	1545.7
20.88	1.658	13	1547.4
20.90	1.665	10	1541.3
20.92	1.637	10	1547.8
20.94	1.660	10	1544.8
20.96	1.657	10	1541.3
20.98	1.624	9	1539.8
21.00	1.636	9	1541.9
21.02	1.624	10	1544.6
21.04	1.621	10	1535.2
21.06	1.601	10	1531.2
21.08	1.590	10	1538.5
21.10	1.610	9	1536.8
21.12	1.611	9	1542.7
21.14	1.611	9	1539.2
21.16	1.603	9	1541.8
21.18	1.610	9	1540.4
21.20	1.616	9	1541.4
21.22	1.617	9	1540.2
21.24	1.610	9	1542.7
21.26	1.615	9	1543.8
21.28	1.637	9	1542.0
21.30	1.642	8	1541.9
21.32	1.646	9	1539.4
21.34	1.625	9	1542.0
21.36	1.628	9	1542.3
21.38	1.628	9	1544.6
21.40	1.620	9	1544.9
21.42	1.628	9	1543.1
21.44	1.609	9	1542.4
21.46	1.637	9	1542.9
21.48	1.648	8	1543.8
21.50	1.636	8	1545.2
21.52	1.644	9	1545.1
21.54	1.638	8	1545.2
21.56	1.637	8	1546.4
21.58	1.658	8	1544.7
21.60	1.632	9	1547.6
21.62	1.642	9	1547.3
21.64	1.647	8	1549.6
21.66	1.656	8	1548.2
21.68	1.637	9	1546.3
21.70	1.628	8	1547.7
21.72	1.639	9	1545.0
21.74	1.634	9	1548.7
21.76	1.624	8	1543.0
21.78	1.628	8	1545.3
21.80	1.622	8	1547.8
21.82	1.608	8	1543.4
21.84	1.555	8	1537.7
21.86	1.555	9	1538.9
21.88	1.553	8	1542.9
21.90	1.555	8	1530.7
21.92	1.549	8	1540.2
21.94	1.584	9	1541.7
21.96	1.592	9	1542.7
21.98	1.596	10	1540.2
22.00	1.570	9	1541.2
22.02	1.587	9	1542.0
22.04	1.567	10	1543.7
22.06	1.546	9	1544.2
22.08	1.550	10	1546.5
22.10	1.553	10	1553.6
22.12	1.557	11	1547.5
22.14	1.561	11	1546.2
22.16	1.567	10	1541.3
22.18	1.571	10	1542.4
22.20	1.570	10	1544.8
22.22	1.545	10	1544.2
22.24	1.600	10	1544.0
22.26	1.611	10	1541.4
22.28	1.627	10	1539.8
22.30	1.631	11	1538.5
22.32	1.620	11	1540.0
22.34	1.605	12	1539.1
22.36	1.614	11	1537.6
22.38	1.600	12	1538.1
22.40	1.608	13	1538.9
22.42	1.545	13	1541.7
22.44	1.567	13	1541.3
22.46	1.603	13	1541.4
22.48	1.633	13	1540.6
22.50	1.603	12	1542.6
22.52	1.622	10	1537.4
22.54	1.607	11	1537.8
22.56	1.613	12	1536.4
22.58	1.608	13	1539.0
22.60	1.656	12	1538.2
22.62	1.628	12	1538.9
22.64	1.643	13	1540.9
22.66	1.660	12	1538.1
22.68	1.636	12	1537.5
22.70	1.640	12	1538.6
22.72	1.628	12	1541.3
22.74	1.579	11	1542.6
22.76	1.640	11	1542.2
22.78	1.610	12	1541.8
22.80	1.627	12	1540.1
22.82	1.639	12	1536.3
22.84	1.596	12	1531.5
22.86	1.562	12	1541.8
22.88	1.584	12	1541.3
22.90	1.564	11	1543.0
22.92	1.621	11	1541.5
22.94	1.607	10	1545.4
22.96	1.647	10	1543.2
22.98	1.622	9	1541.5
23.00	1.622	9	1541.5
23.02	1.636	10	1538.7
23.04	1.613	9	1540.5
23.06	1.567	9	1538.2
23.08	1.554	10	1542.0
23.10	1.601	10	1543.2
23.12	1.611	11	1541.7
23.14	1.568	11	1542.9
23.16	1.575	11	1543.9
23.18	1.585	11	1546.0
23.20	1.586	11	1549.6
23.22	1.608	11	1545.4
23.24	1.604	11	1546.7
23.26	1.597	11	1545.7
23.28	1.576	10	1542.7
23.30	1.595	10	1544.5
23.32	1.577	11	1546.2
23.34	1.568	10	1544.2
23.36	1.517	11	1545.6
23.38	1.554	10	1544.4
23.40	1.575	13	1549.8
23.42	1.605	12	1549.1
23.44	1.580	12	1553.3
23.46	1.624	11	1552.2
23.48	1.614	10	1554.7
23.50	1.615	11	1553.6
23.52	1.600	10	1556.4
23.54	1.605	9	1556.3
23.56	1.608	9	1553.8
23.58	1.613	9	1552.5
23.60	1.614	9	1550.0
23.62	1.605	9	1549.1
23.64	1.603	9	1547.9
23.66	1.592	8	1549.4
23.68	1.585	8	1548.4
23.70	1.598	7	1545.7
23.72	1.600	8	1545.6
23.74	1.601	8	1540.6
23.76	1.592	8	1539.9
23.78	1.587	9	1541.0
23.80	1.599	9	1542.1
23.82	1.611	9	1542.8
23.84	1.610	8	1542.8
23.86	1.622	9	1543.8
23.88	1.619	10	1546.1
23.90	1.619	9	1546.3
23.92	1.623	9	1547.4
23.94	1.634	7	1548.1
23.96	1.643	7	1546.7
23.98	1.641	7	1542.0
24.00	1.634	7	1543.3
24.02	1.627	7	1554.2
24.04	1.629	7	1555.3
24.06	1.632	6	1556.4
24.08	1.638	7	1558.7
24.10	1.640	6	1552.5
24.12	1.647	7	1553.1
24.14	1.640	8	1552.1
24.16	1.642	8	1549.7
24.18	1.638	7	1549.8
24.20	1.628	7	1548.5
24.22	1.635	7	1550.7
24.24	1.646	8	1546.8
24.26	1.644	8	1548.0
24.28	1.642	9	1542.2
24.30	1.603	9	1545.5
24.32	1.608	8	1547.7
24.34	1.620	8	1546.3
24.36	1.645	9	1550.4
24.38	1.653	10	1550.2
24.40	1.651	9	1547.9
24.42	1.648	9	1549.2
24.44	1.640	10	1550.5
24.46	1.649	10	1549.1
24.48	1.640	10	1551.8
24.50	1.646	11	1550.4
24.52	1.629	10	1552.0
24.54	1.654	11	1547.8
24.56	1.640	11	1549.3
24.58	1.648	12	1551.5
24.60	1.665	12	1557.1
24.62	1.703	13	1550.2
24.64	1.653	11	1555.0
24.66	1.680	9	1545.8
24.68	1.651	8	1545.3
24.70	1.648	8	1544.2
24.72	1.639	8	1545.6
24.74	1.635	9	1545.7
24.76	1.646	9	1544.3
24.78	1.630	9	1542.3
24.80	1.627	9	1541.2
24.82	1.619	9	1539.0
24.84	1.610	9	1538.0
24.86	1.599	9	1538.7
24.88	1.594	10	1538.5
24.90	1.593	11	1535.0
24.92	1.552	11	1539.5
24.94	1.574	11	1543.7
24.96	1.610	11	1539.2
24.98	1.611	11	1539.2
25.00	1.610	12	1540.4
25.02	1.603	12	1539.4
25.04	1.603	13	1537.0
25.06	1.585	14	1537.5
25.08	1.584	14	1537.9
25.10	1.590	15	1538.5
25.12	1.598	16	1539.9
25.14	1.617	17	1540.6
25.16	1.620	16	1541.3
25.18	1.633	17	1539.0
25.20	1.615	17	1538.3
25.22	1.594	18	1538.8
25.24	1.596	19	1538.8
25.26	1.597	18	1539.9
25.28	1.609	18	1539.6
25.30	1.607	17	1540.9
25.32	1.617	16	1541.8
25.34	1.614	16	1544.2
25.36	1.630	16	1549.8
25.38	1.666	16	1545.3
25.40	1.631	16	1547.4
25.42	1.632	15	1549.8
25.44	1.647	15	1550.9
25.46	1.637	16	1544.0
25.48	1.633	16	1543.0
25.50	1.615	16	1548.2
25.52	1.600	17	1552.1
25.54	1.630	20	1544.7
25.56	1.619	23	1548.5
25.58	1.633	24	1551.8
25.60	1.649	24	1549.3
25.62	1.643	24	1558.0
25.64	1.680	27	1552.1
25.66	1.750	34	1671.8
25.68	1.881	37	1640.8
25.70	1.705	34	1684.2
25.72	1.891	33	1676.1
25.74	1.861	32	1663.1
25.76	1.771	33	1680.8
25.78	1.850	34	1708.5
25.80	1.958	37	1715.4
25.82	1.974	36	1693.3
25.84	1.929	34	1717.8
25.86	2.090	29	1659.1
25.88	1.705	20	1547.9
25.90	1.612	13	1546.6
25.92	1.609	8	1549.1
25.94	1.622	8	1556.0
25.96	1.632	8	1556.9
25.98	1.622	9	1558.0
26.00	1.635	9	1558.0
26.02	1.617	10	1558.5
26.04	1.614	9	1559.8
26.06	1.630	10	1559.4
26.08	1.631	10	1558.1
26.10	1.635	11	1556.8
26.12	1.627	11	1559.5
26.14	1.639	11	1561.6
26.16	1.649	11	1560.1
26.18	1.656	11	1560.0
26.20	1.660	11	1553.8
26.22	1.647	10	1554.1
26.24	1.655	10	1551.5
26.26	1.643	9	1545.8
26.28	1.640	9	1547.1
26.30	1.635	10	1543.7
26.32	1.623	11	1540.4
26.34	1.613	12	1540.7
26.36	1.605	11	1537.3
26.38	1.590	13	1540.4
26.40	1.599	14	1538.7
26.42	1.586	14	1541.3
26.44	1.607	14	1540.8
26.46	1.586	14	1542.5
26.48	1.617	13	1541.8
26.50	1.602	14	1543.3
26.52	1.628	13	1546.2
26.54	1.631	12	1548.5
26.56	1.622	12	1553.9
26.58	1.642	12	1552.2
26.60	1.626	12	1551.4
26.62	1.628	11	1553.8
26.64	1.639	11	1551.1
26.66	1.640	11	1552.7
26.68	1.632	11	1551.3
26.70	1.633	9	1550.4
26.72	1.622	9	1551.5
26.74	1.643	9	1552.6
26.76	1.637	9	1555.1
26.78	1.630	9	1554.1
26.80	1.639	7	1556.3
26.82	1.630	8	1552.9
26.84	1.621	8	1554.3
26.86	1.628	9	1559.0
26.88	1.644	9	1553.8
26.90	1.618	9	1553.2
26.92	1.612	10	1553.3
26.94	1.630	10	1548.1
26.96	1.637	11	1542.0
26.98	1.633	13	1544.5
27.00	1.619	14	1547.0
27.02	1.611	14	1543.3
27.04	1.598	15	1542.4
27.06	1.626	15	1544.1
27.08	1.620	14	1539.1
27.10	1.619	14	1540.7
27.12	1.583	15	1544.8
27.14	1.642	15	1546.9
27.16	1.635	14	1544.7
27.18	1.631	13	1542.8
27.20	1.622	13	1546.2
27.22	1.641	13	1546.1
27.24	1.614	12	1545.6
27.26	1.611	11	1548.0
27.28	1.637	12	1547.0
27.30	1.654	11	1544.0
27.32	1.619	10	1545.1
27.34	1.639	10	1543.2
27.36	1.618	11	1549.7
27.38	1.649	10	1550.3
27.40	1.655	9	1551.5
27.42	1.619	8	1552.2
27.44	1.650	7	1553.0
27.46	1.667	7	1551.4
27.48	1.670	8	1546.2
27.50	1.672	7	1546.1
27.52	1.650	7	1545.8
27.54	1.652	7	1543.2
27.56	1.666	7	1537.8
27.58	1.649	7	1540.0
27.60	1.657	9	1540.6
27.62	1.655	10	1543.2
27.64	1.659	11	1544.3
27.66	1.657	12	1547.9
27.68	1.673	13	1546.3
27.70	1.648	14	1548.1
27.72	1.665	13	1547.7
27.74	1.667	13	1544.1
27.76	1.648	12	1544.7
27.78	1.647	11	1543.6
27.80	1.653	10	1543.4
27.82	1.636	10	1546.2
27.84	1.639	10	1551.3
27.86	1.634	10	1548.7
27.88	1.653	10	1552.8
27.90	1.664	10	1546.7
27.92	1.643	11	1549.6
27.94	1.665	12	1547.8
27.96	1.657	11	1549.2
27.98	1.660	10	1543.2
28.00	1.639	10	1550.1
28.02	1.648	10	1544.7
28.04	1.633	9	1547.9
28.06	1.661	9	1547.2
28.08	1.625	9	1549.2
28.10	1.651	12	1551.0
28.12	1.655	12	1553.3
28.14	1.650	12	1557.0
28.16	1.664	12	1555.4
28.18	1.651	12	1549.8
28.20	1.621	11	1550.5
28.22	1.631	11	1550.3
28.24	1.639	10	1547.7
28.26	1.617	10	1553.1
28.28	1.628	9	1553.2
28.30	1.620	9	1555.7
28.32	1.630	8	1552.7
28.34	1.620	8	1549.8
28.36	1.628	8	
28.38	1.617	7	
28.40	1.617	7	
28.42	1.606	7	
28.44	1.624	8	
28.46	1.611	7	
28.48	1.610	6	
28.50	1.612	6	
28.52	1.613	5	1541.6
28.54	1.615	7	1542.8
28.56	1.627	8	1542.5
28.58	1.647	8	1542.0
28.60	1.631	8	1541.7
28.62	1.641	9	1541.4
28.64	1.622	10	1541.9
28.66	1.595	10	1542.8
28.68	1.612	10	1545.9
28.70	1.618	9	1544.5
28.72	1.619	8	1543.3
28.74	1.607	8	1544.8
28.76	1.614	8	1548.2
28.78	1.624	7	1544.4
28.80	1.637	8	1541.7
28.82	1.627	9	1539.6
28.84	1.596	10	1541.5
28.86	1.558	12	1723.3
28.88	1.634	17	1682.1
28.90	2.012	23	1694.8
28.92	1.970	29	1670.7
28.94	1.924	33	1680.5
28.96	1.862	35	1690.8
28.98	1.853	35	1734.5
29.00	1.869	38	1547.7
29.02	2.053	32	1537.1
29.04	1.644	22	1547.4
29.06	1.637	15	1546.1
29.08	1.625	12	1546.4
29.10	1.634	11	1547.3
29.12	1.632	11	1547.4
29.14	1.630	11	1549.8
29.16	1.645	11	1545.9
29.18	1.642	11	1543.6
29.20	1.643	12	1542.4
29.22	1.625	11	1540.8
29.24	1.621	11	1544.5
29.26	1.591	12	1546.4
29.28	1.634	11	1544.1
29.30	1.621	11	1545.7
29.32	1.615	12	1541.1
29.34	1.620	12	1543.3
29.36	1.589	12	1540.2
29.38	1.605	11	1543.7
29.40	1.604	11	1544.9
29.42	1.617	11	1545.8
29.44	1.606	11	1548.4
29.46	1.637	10	1547.6
29.48	1.630	10	1550.2
29.50	1.651	10	1549.7
29.52	1.644	10	1546.2
29.54	1.640	9	1544.0
29.56	1.627	9	1546.7
29.58	1.617	8	1551.7
29.60	1.609	5	1553.1
29.62	1.632	5	1553.7
29.64	1.624	4	1555.5
29.66	1.632	4	1558.9
29.68	1.635	8	1558.8
29.70	1.647	8	1556.1
29.72	1.650	8	1553.6
29.74	1.664	8	1552.2
29.76	1.625	7	1550.7
29.78	1.630	7	1546.0
29.80	1.615	7	1549.9
29.82	1.588	7	1550.6
29.84	1.600	6	1547.9
29.86	1.620	6	1552.2
29.88	1.603	7	1550.2
29.90	1.649	8	1550.2
29.92	1.648	8	1551.5
29.94	1.647	9	1550.3
29.96	1.655	10	1546.5
29.98	1.638	10	1550.5
30.00	1.642	10	1555.2
30.02	1.648	10	1559.9
30.04	1.656	10	1564.1
30.06	1.679	11	1563.5
30.08	1.676	10	1569.7
30.10	1.672	10	1564.9
30.12	1.692	9	1560.4
30.14	1.666	10	1554.2
30.16	1.673	9	1551.8
30.18	1.646	9	1552.5
30.20	1.637	9	1552.8
30.22	1.642	9	1551.4
30.24	1.652	8	1548.6
30.26	1.633	8	1549.1
30.28	1.612	9	1549.6
30.30	1.633	9	1547.9
30.32	1.619	9	1545.1
30.34	1.639	10	1544.2
30.36	1.639	12	1546.7
30.38	1.635	12	1542.1
30.40	1.664	15	1540.2
30.42	1.644	16	1538.3
30.44	1.618	15	1540.2
30.46	1.599	13	1543.0
30.48	1.593	13	1547.9
30.50	1.612	14	1549.8
30.52	1.636	13	1549.2
30.54	1.644	12	1546.6
30.56	1.643	12	1544.2
30.58	1.618	11	1547.3
30.60	1.618	12	1549.6
30.62	1.637	13	1548.0
30.64	1.628	14	1549.4
30.66	1.653	13	1544.0
30.68	1.675	14	1545.8
30.70	1.650	13	1550.0
30.72	1.679	14	1549.2
30.74	1.685	14	1545.5
30.76	1.686	14	1546.7
30.78	1.667	13	1542.5
30.80	1.676	13	1538.7
30.82	1.628	13	1542.2
30.84	1.625	12	1542.9
30.86	1.645	13	1547.9
30.88	1.658	12	1545.2
30.90	1.676	12	1549.9
30.92	1.672	12	1555.8
30.94	1.699	12	1557.7
30.96	1.720	13	1564.3
30.98	1.734	13	1550.8
31.00	1.745	12	1545.7
31.02	1.703	12	1548.0
31.04	1.683	11	1548.5
31.06	1.701	10	1545.7
31.08	1.695	11	1548.2
31.10	1.697	11	1556.5
31.12	1.686	12	1549.6
31.14	1.704	13	1550.3
31.16	1.699	12	1549.3
31.18	1.695	12	1549.4
31.20	1.699	11	1549.3
31.22	1.683	11	1549.7
31.24	1.691	11	1548.3
31.26	1.692	11	1550.7
31.28	1.697	11	1554.1
31.30	1.700	10	1549.2
31.32	1.695	10	1547.0
31.34	1.697	11	1546.9
31.36	1.674	10	1548.7
31.38	1.679	11	1546.2
31.40	1.690	12	1544.8
31.42	1.677	13	1547.5
31.44	1.669	13	1546.5
31.46	1.676	13	1546.3
31.48	1.654	13	1544.5
31.50	1.648	14	1544.7
31.52	1.651	14	1552.9
31.54	1.658	14	1553.6
31.56	1.689	14	1552.8
31.58	1.701	14	1554.8
31.60	1.694	13	1551.1
31.62	1.706	13	1553.2
31.64	1.715	12	1549.4
31.66	1.713	12	1548.2
31.68	1.681	13	1549.0
31.70	1.684	12	1546.6
31.72	1.682	12	1544.4
31.74	1.676	12	1546.8
31.76	1.656	13	1553.3
31.78	1.662	15	1561.5
31.80	1.663	18	1651.2
31.82	1.826	21	1541.8
31.84	1.823	20	1544.2
31.86	1.643	13	1547.7
31.88	1.659	10	1549.6
31.90	1.655	9	1549.7
31.92	1.664	10	1545.9
31.94	1.679	10	1547.9
31.96	1.646	10	1551.1
31.98	1.674	13	1551.6
32.00	1.707	13	1552.0
32.02	1.694	13	1553.5
32.04	1.702	12	1553.3
32.06	1.711	12	1555.5
32.08	1.724	9	1551.7
32.10	1.707	9	1549.7
32.12	1.694	9	1550.0
32.14	1.698	10	1548.8
32.16	1.682	9	1548.0
32.18	1.690	12	1546.2
32.20	1.685	12	1547.5
32.22	1.679	12	1546.5
32.24	1.683	12	1545.2
32.26	1.675	11	1547.8
32.28	1.668	10	1546.8
32.30	1.682	9	1546.4
32.32	1.662	9	1547.0
32.34	1.668	9	1544.8
32.36	1.652	9	1547.6
32.38	1.651	9	1543.7
32.40	1.649	9	1548.8
32.42	1.649	9	1547.7
32.44	1.662	8	1547.0
32.46	1.656	8	1545.9
32.48	1.654	11	1544.8
32.50	1.657	12	1544.7
32.52	1.641	12	1545.1
32.54	1.657	12	1547.1
32.56	1.647	12	1546.5
32.58	1.666	13	1543.7
32.60	1.661	13	1543.8
32.62	1.635	13	1550.6
32.64	1.651	12	1546.6
32.66	1.669	12	1546.1
32.68	1.642	12	1545.6
32.70	1.674	13	1548.7
32.72	1.641	13	1546.0
32.74	1.654	13	1551.6
32.76	1.647	13	1550.6
32.78	1.687	13	1555.6
32.80	1.668	13	1556.0
32.82	1.688	13	1556.7
32.84	1.690	12	1551.9
32.86	1.679	11	1555.8
32.88	1.678	11	1557.0
32.90	1.691	9	1554.3
32.92	1.691	9	1556.7
32.94	1.685	9	1558.0
32.96	1.684	9	1555.6
32.98	1.691	10	1548.3
33.00	1.682	9	1552.1
33.02	1.683	9	1558.1
33.04	1.684	10	1554.1
33.06	1.684	10	1556.5
33.08	1.670	10	1554.4
33.10	1.692	9	1558.8
33.12	1.675	10	1554.6
33.14	1.674	10	1551.1
33.16	1.673	9	1548.7
33.18	1.665	9	1552.5
33.20	1.662	12	1555.0
33.22	1.667	12	1553.7
33.24	1.680	12	1550.9
33.26	1.668	12	1550.9
33.28	1.656	13	1549.2
33.30	1.658	13	1551.1
33.32	1.662	10	1548.6
33.34	1.661	14	1548.7
33.36	1.672	14	1548.4
33.38	1.665	14	1548.5
33.40	1.646	14	1552.6
33.42	1.666	14	1552.1
33.44	1.661	14	1553.4
33.46	1.670	14	1554.4
33.48	1.677	12	1555.4
33.50	1.674	12	1555.5
33.52	1.689	13	1555.1
33.54	1.689	14	1586.6
33.56	1.687	16	1566.9
33.58	1.892	22	1554.2
33.60	1.718	19	1560.0
33.62	1.717	17	1555.3
33.64	1.718	20	1551.5
33.66	1.705	17	1549.5
33.68	1.671	16	1550.6
33.70	1.683	15	1547.8
33.72	1.683	15	1553.0
33.74	1.648	14	1556.3
33.76	1.679	14	1551.9
33.78	1.711	14	1551.1
33.80	1.680	14	1547.1
33.82	1.684	13	1551.8
33.84	1.673	12	1550.9
33.86	1.671	18	1550.9
33.88	1.669	14	1551.0
33.90	1.670	14	1551.0
33.92	1.668	13	1551.0
33.94	1.667	13	1547.5
33.96	1.668	13	1551.0
33.98	1.675	16	1550.8
34.00	1.668	16	1552.2
34.02	1.657	16	1553.7
34.04	1.668	16	1552.2
34.06	1.668	15	1554.6
34.08	1.659	14	1556.1
34.10	1.668	14	1554.6
34.12	1.653	14	1557.8
34.14	1.651	14	1560.2
34.16	1.663	15	1558.7
34.18	1.663	14	1561.1
34.20	1.665	15	1562.3
34.22	1.659	13	1563.7
34.24	1.676	12	1566.9
34.26	1.687	13	1580.1
34.28	1.690	14	1586.2
34.30	1.747	16	1557.7
34.32	1.841	20	1561.2
34.34	1.896	21	1562.2
34.36	1.664	17	1567.2
34.38	1.664	14	1568.4
