/* DATA DESCRIPTION:
Citation:	Thomas, Nicola C; Bradbury, Harold J; Hodell, David A (2022): Determination of stable isotopes of IODP Site 339-U1385. PANGAEA, https://doi.org/10.1594/PANGAEA.945863, 
	In: Thomas, NC et al. (2022): Reconstructed paleo-oxygen concentration, stable isotope measurements and Gaussian interpolated Δδ13C obtained from the IODP Site 339-U1385 for the past 1.5 Ma, including trace element analyses and Uvigerina spp. abundance over MIS 27-21. PANGAEA, https://doi.org/10.1594/PANGAEA.945872
Keyword(s):	Biological pump; Ice core; Inorganic carbon storage; MPT; Oxygen concentration
Coverage:	LATITUDE: 37.571416 * LONGITUDE: -10.126027
	DATE/TIME START: 2011-11-25T00:00:00 * DATE/TIME END: 2011-11-25T00:00:00
	MINIMUM ELEVATION: -2587.0 m * MAXIMUM ELEVATION: -2587.0 m
Event(s):	339-U1385 * LATITUDE: 37.571416 * LONGITUDE: -10.126027 * DATE/TIME: 2011-11-25T00:00:00 * ELEVATION: -2587.0 m * CAMPAIGN: Exp339 (Mediterranean Outflow) (URI: https://doi.org/10.2204/iodp.proc.339.2013) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE)
Parameter(s):	Depth, composite revised, corrected [crmcd] (Depth corr cr) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: IODP Depth Scale Terminology (URI: hdl:10013/epic.50267.d001) * COMMENT: IODP 339-U1385 Depth (crmcd) Gint Age (ka BP)
	AGE [ka BP] (Age) * GEOCODE * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Age model, LR04 Lisiecki & Raymo (2005) (URI: https://doi.org/10.1029/2004PA001071)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ18O [‰ PDB] (G. affinis δ18O) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Globobulimina affinis, δ13C [‰ PDB] (G. affinis δ13C) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: vs VPDB
	Δδ13C, gradient [‰ PDB] (Δδ13C grad) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * COMMENT: Between Cibicidoides wuellerstorfi and Globobulimina affinis [vs VPDB]
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317)
	Oxygen [µmol/kg] (O2) * PI: Thomas, Nicola C (https://orcid.org/0000-0002-6426-5150, nct30@cam.ac.uk) * METHOD/DEVICE: Calculated according to Hoogakker et al., 2015 (URI: https://doi.org/10.1038/ngeo2317) * COMMENT: Truncated
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	27590 data points
*/
Depth corr cr [crmcd] (IODP 339-U1385 Depth (crmcd) ...)	Age [ka BP] (Age model, LR04 Lisiecki & Ra...)	C. wuellerstorfi δ18O [‰ PDB] (vs VPDB)	C. wuellerstorfi δ13C [‰ PDB] (vs VPDB)	G. affinis δ18O [‰ PDB] (vs VPDB)	G. affinis δ13C [‰ PDB] (vs VPDB)	Δδ13C grad [‰ PDB] (Between Cibicidoides wuellers...)	O2 [µmol/kg] (Calculated according to Hooga...)	O2 [µmol/kg] (Truncated, Calculated accordi...)
67.12	529.38	3.52	0.53	4.210	-1.84	2.37	283.59	235.00
67.16	529.61	3.61	0.65	4.440	-2.11	2.76	344.67	235.00
67.24	530.05	3.54	0.56	4.440	-2.09	2.65	327.34	235.00
67.30	530.39	3.57	0.73	4.710	-2.07	2.80	350.63	235.00
67.36	530.73	3.30	0.66	4.370	-2.26	2.92	368.91	235.00
67.40	530.95	3.55	0.54	4.450	-2.28	2.82	353.44	235.00
67.52	531.63	3.66	0.50	4.540	-2.62	3.12	400.78	235.00
67.56	531.85	3.68	0.41	4.800	-2.67	3.08	394.53	235.00
67.60	532.08	3.55	0.26	4.420	-2.43	2.69	334.26	235.00
67.64	532.30	3.66	0.17	4.550	-2.42	2.59	317.81	235.00
67.68	532.53	3.69	0.17	4.470	-2.45	2.62	322.65	235.00
67.72	532.75	3.57	0.11	4.600	-2.28	2.39	286.01	235.00
67.84	533.42	4.00	0.03	4.820	-1.98	2.01	227.17	227.17
67.96	534.20	4.17	0.29	4.920	-1.68	1.97	221.09	221.09
68.00	534.57	4.10	0.12	5.210	-1.68	1.80	194.22	194.22
68.04	534.93	4.08	0.50	4.310	-1.83	2.33	277.19	235.00
68.12	535.66	4.21	0.38	4.990	-1.68	2.06	235.77	235.00
68.16	536.03	4.03	0.43	4.890	-1.96	2.39	287.00	235.00
68.20	536.40	4.09	0.41	5.000	-1.88	2.29	270.92	235.00
68.22	536.58	3.95	0.39	5.060	-1.88	2.27	268.63	235.00
68.30	537.31	4.28	0.43	4.840	-1.75	2.18	253.59	235.00
68.34	537.67	4.30	0.49	4.530	-1.78	2.27	267.81	235.00
68.36	537.86	4.23	0.46	4.920	-1.85	2.31	273.59	235.00
68.40	538.22	4.09	0.37	4.940	-1.56	1.93	215.16	215.16
68.42	538.40	4.24	0.52	5.080	-1.97	2.49	302.81	235.00
68.46	538.77	4.28	0.41	5.070	-1.82	2.23	262.25	235.00
68.50	539.13	4.04	0.74	4.980	-1.72	2.46	298.28	235.00
68.54	539.50	3.86	0.62	5.070	-1.77	2.39	287.22	235.00
68.58	539.87	4.21	0.56	4.950	-1.80	2.36	282.70	235.00
68.62	540.23	4.20	0.60	5.070	-1.82	2.42	290.63	235.00
68.66	540.60	4.19	0.47	5.100	-1.96	2.43	293.59	235.00
68.68	540.78	4.14	0.59	4.920	-1.99	2.58	317.03	235.00
68.70	540.96	4.11	0.56	4.920	-1.91	2.47	299.38	235.00
68.72	541.14	4.10	0.42	5.020	-1.72	2.14	247.81	235.00
68.78	541.69	4.11	0.61	5.080	-2.00	2.61	320.94	235.00
68.86	542.42	4.10	0.48	4.850	-2.02	2.50	303.63	235.00
68.90	542.79	3.64	0.44	4.810	-2.01	2.45	295.97	235.00
68.94	543.15	3.58	0.03	4.830	-2.13	2.16	250.31	235.00
68.98	543.52	4.00	0.26	4.940	-2.17	2.43	292.46	235.00
69.02	543.88	4.23	0.40	4.960	-1.88	2.28	269.38	235.00
69.06	544.25	4.15	0.45	4.850	-1.87	2.32	275.31	235.00
69.12	544.80	3.81	0.58	5.050	-1.95	2.53	307.81	235.00
69.14	544.98	3.90	0.54	4.790	-1.82	2.36	281.72	235.00
69.16	545.16	3.95	0.63	4.900	-1.79	2.42	291.56	235.00
69.20	545.53	4.07	0.54	4.930	-1.90	2.44	295.16	235.00
69.28	546.26	3.94	0.56	5.070	-1.85	2.41	289.69	235.00
69.30	546.44	3.89	0.49	4.890	-1.78	2.27	267.81	235.00
69.34	546.81	3.50	0.55	4.630	-2.19	2.74	340.89	235.00
69.38	547.17	3.60	0.45	5.040	-1.95	2.40	288.28	235.00
69.42	547.54	3.28	0.58	5.040	-1.75	2.33	277.34	235.00
69.46	547.90	4.01	0.54	5.020	-1.79	2.33	277.34	235.00
69.50	548.27	4.03	0.56	4.630	-2.18	2.74	341.91	235.00
69.56	548.81	3.19	0.58	4.770	-1.75	2.33	277.34	235.00
69.58	549.00	3.59	0.53	4.860	-1.81	2.34	278.54	235.00
69.62	549.36	3.67	0.48	4.730	-1.78	2.26	266.72	235.00
69.66	549.73	3.44	0.54	4.860	-1.73	2.27	268.28	235.00
69.72	550.28	3.59	0.41	4.830	-1.86	2.27	267.53	235.00
69.80	551.01	3.81	0.48	4.670	-1.75	2.23	261.53	235.00
69.84	551.37	3.42	0.27	4.710	-1.92	2.19	255.63	235.00
69.88	551.74	3.53	0.51	4.880	-1.96	2.47	299.22	235.00
69.92	552.10	3.78	0.39	4.720	-2.05	2.44	294.84	235.00
69.96	552.47	3.94	0.61	4.790	-1.97	2.58	317.03	235.00
70.00	552.83	3.77	0.31	4.520	-1.95	2.26	265.78	235.00
70.16	554.29	3.60	0.46	4.680	-1.95	2.41	290.00	235.00
70.20	554.66	3.55	0.81	4.530	-2.00	2.81	352.81	235.00
70.24	555.02	2.92	0.26	3.950	-2.20	2.46	297.97	235.00
70.28	555.39	3.59	0.40	4.500	-2.24	2.64	326.25	235.00
70.36	556.12	3.41	0.33	4.180	-2.67	3.00	381.74	235.00
70.40	556.48	3.56	0.63	4.530	-2.46	3.09	395.92	235.00
70.42	556.67	3.64	0.55	4.270	-2.27	2.82	353.13	235.00
70.46	557.03	3.45	0.10	4.710	-2.08	2.18	253.75	235.00
70.48	557.21	3.66	0.67	4.540	-2.02	2.69	334.22	235.00
70.50	557.40	3.55	0.71	4.520	-2.22	2.93	371.56	235.00
70.58	558.13	3.35	0.72	4.250	-2.27	2.99	379.69	235.00
70.62	558.49	3.12	0.51	4.310	-2.28	2.79	349.06	235.00
70.66	558.86	3.21	0.73	4.370	-2.35	3.08	394.53	235.00
70.68	559.04	3.34	0.69	4.330	-2.54	3.23	418.59	235.00
70.72	559.41	3.34	0.58	4.180	-2.57	3.15	405.78	235.00
70.76	559.77	3.19	0.72	4.180	-2.48	3.20	413.59	235.00
70.80	560.14	2.97	0.51	3.830	-2.30	2.81	352.50	235.00
70.88	560.87	2.76	0.16	4.000	-2.45	2.61	320.63	235.00
71.12	563.06	3.56	0.61	4.320	-1.77	2.38	285.31	235.00
71.26	564.33	3.34	0.73	3.930	-2.36	3.09	396.81	235.00
71.28	564.50	3.39	0.74	4.310	-1.93	2.67	331.09	235.00
71.33	565.00	3.27	0.68	4.410	-2.18	2.86	360.78	235.00
71.35	565.17	3.19	0.80	4.260	-2.13	2.93	370.94	235.00
71.39	565.50	3.15	0.74	4.290	-2.23	2.97	377.97	235.00
71.52	566.67	3.18	0.82	4.180	-2.19	3.01	382.81	235.00
71.55	567.01	3.12	0.68	4.280	-2.31	2.99	380.00	235.00
71.64	567.84	2.75	0.69	3.920	-2.29	2.98	378.91	235.00
71.81	569.34	3.02	0.86	4.090	-2.03	2.89	365.00	235.00
71.86	569.84	2.95	0.93	3.670	-1.86	2.79	349.22	235.00
72.59	576.53	2.96	0.86	3.410	-2.22	3.08	394.53	235.00
72.69	577.38	2.71	0.72	3.390	-2.33	3.05	390.00	235.00
72.70	577.55	3.01	0.81	3.690	-2.25	3.06	392.03	235.00
72.80	578.39	2.50	0.60	3.620	-2.11	2.71	336.41	235.00
72.83	578.75	2.59	0.37	3.760	-2.15	2.52	306.88	235.00
72.85	578.87	2.76	0.51	3.740	-2.29	2.80	350.77	235.00
72.86	578.99	2.58	0.24	3.650	-2.21	2.45	295.82	235.00
72.87	579.10	2.87	0.33	3.660	-2.07	2.40	287.57	235.00
72.89	579.22	2.61	0.19	3.770	-2.02	2.21	259.01	235.00
72.90	579.34	2.51	0.34	3.760	-2.02	2.36	281.76	235.00
72.92	579.58	2.94	0.40	3.830	-2.15	2.55	311.00	235.00
72.94	579.70	2.76	0.20	3.800	-2.09	2.29	270.60	235.00
72.95	579.82	2.94	0.03	3.900	-2.10	2.13	245.60	235.00
72.96	579.94	2.78	0.11	3.890	-2.10	2.21	259.14	235.00
72.98	580.06	2.54	0.06	4.110	-1.99	2.05	233.93	233.93
72.99	580.18	2.63	-0.19	4.130	-1.99	1.80	194.40	194.40
73.01	580.42	3.44	0.01	4.290	-2.17	2.18	253.71	235.00
73.33	583.34	3.43	0.30	4.740	-2.22	2.52	306.88	235.00
73.37	583.77	3.52	0.56	4.420	-2.28	2.84	356.88	235.00
73.41	584.22	3.55	0.16	4.620	-2.46	2.62	323.29	235.00
73.45	584.66	3.72	0.34	4.730	-1.98	2.32	275.85	235.00
73.53	585.56	3.75	0.83	4.740	-1.81	2.64	325.50	235.00
73.69	587.36	3.13	0.75	4.710	-2.26	3.01	383.59	235.00
73.72	587.69	3.49	0.75	4.510	-1.97	2.72	337.66	235.00
73.73	587.80	3.30	0.62	4.490	-2.16	2.78	347.82	235.00
73.77	588.25	3.19	0.67	4.360	-2.33	3.00	381.62	235.00
73.79	588.48	3.31	0.72	4.400	-2.34	3.06	391.19	235.00
73.81	588.72	3.36	0.54	4.340	-2.15	2.69	333.50	235.00
73.85	589.15	3.57	0.60	4.310	-2.25	2.85	358.17	235.00
73.86	589.23	3.34	0.66	4.250	-2.36	3.02	385.14	235.00
73.89	589.60	3.41	0.76	4.330	-2.27	3.03	386.55	235.00
73.90	589.74	3.35	0.67	4.280	-2.34	3.01	383.13	235.00
73.93	589.99	3.33	0.56	4.240	-2.41	2.97	377.34	235.00
73.93	590.05	2.75	0.58	4.130	-2.33	2.91	367.27	235.00
73.94	590.12	3.26	0.62	4.250	-2.27	2.89	365.38	235.00
73.96	590.37	3.32	0.64	4.120	-2.59	3.23	417.97	235.00
73.97	590.50	3.24	0.55	4.300	-2.35	2.90	367.03	235.00
73.97	590.50	3.30	0.36	3.940	-2.21	2.57	315.00	235.00
74.01	590.94	3.27	0.58	4.180	-2.23	2.81	352.97	235.00
74.03	591.17	3.03	0.66	3.900	-2.23	2.89	364.69	235.00
74.05	591.39	2.71	0.13	4.140	-2.40	2.53	308.64	235.00
74.07	591.62	3.53	0.68	4.570	-2.22	2.90	365.94	235.00
74.07	591.65	3.19	0.13	4.630	-2.00	2.13	246.72	235.00
74.26	593.71	3.55	0.63	4.400	-1.93	2.56	313.91	235.00
74.29	594.11	3.40	0.56	4.330	-2.10	2.66	328.75	235.00
74.43	595.68	3.22	0.34	4.410	-2.11	2.45	296.25	235.00
74.47	596.07	3.04	0.72	4.480	-2.38	3.10	397.97	235.00
74.50	596.47	3.61	0.39	4.570	-2.02	2.41	290.00	235.00
74.58	597.34	3.29	0.49	4.460	-2.09	2.58	315.88	235.00
74.66	598.23	3.55	0.79	4.430	-2.09	2.88	362.52	235.00
74.70	598.68	3.65	0.68	4.410	-2.05	2.73	339.84	235.00
74.78	599.58	3.46	0.65	4.460	-2.08	2.73	339.84	235.00
74.82	600.03	3.10	0.65	4.350	-2.04	2.69	332.81	235.00
74.86	600.48	3.31	0.72	4.390	-2.23	2.95	374.37	235.00
74.88	600.70	2.79	0.70	4.460	-2.22	2.92	368.91	235.00
74.94	601.38	3.10	0.62	4.160	-1.83	2.45	296.72	235.00
74.96	601.60	3.24	0.70	4.200	-1.98	2.68	331.72	235.00
75.00	602.05	3.43	0.76	4.230	-2.15	2.91	367.34	235.00
75.07	602.83	3.29	0.80	4.300	-2.17	2.97	377.90	235.00
75.09	603.06	3.14	0.68	4.340	-2.25	2.93	370.99	235.00
75.11	603.28	3.38	0.82	4.320	-2.11	2.93	371.25	235.00
75.13	603.51	3.22	0.79	4.240	-2.10	2.89	364.84	235.00
75.17	603.95	2.67	0.60	4.070	-2.12	2.72	338.44	235.00
75.29	605.30	3.38	0.84	4.050	-2.14	2.98	378.28	235.00
75.35	605.97	3.13	0.70	4.130	-2.15	2.85	358.44	235.00
75.37	606.20	2.76	0.53	4.130	-2.07	2.60	319.57	235.00
75.51	607.77	3.33	0.83	3.930	-2.12	2.95	374.06	235.00
75.57	608.44	3.16	0.82	3.970	-2.16	2.98	378.59	235.00
75.67	609.56	3.10	0.85	3.800	-2.43	3.28	425.31	235.00
75.69	609.79	3.07	0.81	3.740	-2.24	3.05	389.22	235.00
75.73	610.24	2.70	0.81	3.930	-2.17	2.98	378.13	235.00
75.75	610.46	2.85	0.83	3.430	-2.12	2.95	373.75	235.00
76.07	614.05		0.24	3.880	-2.56	2.80	351.25	235.00
76.21	615.62	2.75	0.76	3.960	-2.27	3.03	386.88	235.00
76.31	616.74	2.89	0.82	2.910	-2.08	2.90	367.03	235.00
76.39	617.64	2.93	0.66	3.670	-2.13	2.79	349.38	235.00
76.41	617.86	2.87	0.69	3.920	-2.39	3.08	394.84	235.00
76.45	618.31	2.75	0.61	4.140	-2.36	2.97	377.19	235.00
76.47	618.54	2.93	0.50	3.920	-2.04	2.54	310.63	235.00
76.49	618.76		0.26	3.950	-2.09	2.35	280.78	235.00
76.51	618.98	3.01	0.39	3.820	-2.09	2.48	301.25	235.00
76.53	619.21	3.02	0.35	3.960	-1.99	2.34	278.65	235.00
76.55	619.43	3.09	0.55	4.020	-2.30	2.85	358.81	235.00
76.58	619.77	3.18	0.36	3.950	-2.28	2.64	325.29	235.00
76.60	619.99	3.21	0.47	3.950	-2.04	2.51	306.00	235.00
76.62	620.22		0.32	4.000	-2.41	2.73	339.28	235.00
76.64	620.44	2.86	0.28	4.130	-2.14	2.42	290.88	235.00
76.66	620.67	3.45	0.25	3.900	-2.00	2.25	265.00	235.00
76.68	620.89	2.71	0.38	3.990	-2.07	2.45	295.94	235.00
76.70	621.11	3.62	0.24	4.200	-1.86	2.10	241.56	235.00
76.72	621.34	3.38	0.25	4.220	-2.04	2.29	271.86	235.00
76.74	621.56	3.76	-0.05	4.260	-2.10	2.05	234.06	234.06
76.74	621.56	3.43	0.11	4.260	-2.10	2.21	259.06	235.00
76.78	622.13	3.74	0.04	4.140	-2.27	2.31	274.41	235.00
76.80	622.60	3.44	0.20	4.120	-2.42	2.62	321.88	235.00
76.82	623.07	3.56	0.04	4.540	-2.43	2.47	299.85	235.00
76.84	623.54	3.45	0.32	4.670	-2.26	2.58	316.41	235.00
76.86	624.01	4.28	0.14	4.920	-2.10	2.24	263.13	235.00
76.88	624.48	4.05	-0.13	4.980	-2.10	1.97	221.80	221.80
76.88	624.48	3.98	0.13	4.980	-2.10	2.23	262.43	235.00
76.90	624.94	4.46	0.02	5.000	-2.07	2.09	240.18	235.00
76.92	625.41	4.61	0.07	5.200	-1.84	1.91	210.98	210.98
76.94	625.88	4.62	-0.03	5.260	-1.97	1.94	215.68	215.68
76.98	626.82		-0.12	5.390	-2.03	1.91	211.41	211.41
77.00	627.29	4.69	0.15	5.340	-1.97	2.12	244.58	235.00
77.02	627.75	4.62	0.20	5.450	-1.95	2.15	249.22	235.00
77.04	628.22	4.69	0.27	5.590	-1.75	2.02	229.04	229.04
77.06	628.69	4.63	0.29	5.500	-1.86	2.15	249.22	235.00
77.10	629.26	4.64	0.27	5.600	-1.81	2.08	238.28	235.00
77.12	629.54	4.60	0.34	5.420	-1.85	2.19	255.47	235.00
77.14	629.82	4.61	0.27	5.350	-1.92	2.19	256.12	235.00
77.18	630.39	4.55	0.39	5.400	-2.08	2.47	299.22	235.00
77.20	630.68	4.61	0.31	5.070	-1.93	2.24	263.44	235.00
77.22	630.96	4.66	0.27	5.440	-2.01	2.28	269.53	235.00
77.24	631.24	4.56	0.18	5.460	-2.21	2.39	286.09	235.00
77.26	631.53	4.56	0.28	5.380	-1.89	2.17	252.21	235.00
77.30	632.09	4.41	0.16	5.220	-2.00	2.16	250.31	235.00
77.32	632.38	4.42	0.14	5.440	-1.79	1.93	214.65	214.65
77.34	632.66	4.58	0.14	5.480	-1.90	2.04	232.19	232.19
77.38	633.23	4.61	0.12	5.440	-1.89	2.01	227.34	227.34
77.40	633.51	4.53	0.18	5.260	-1.91	2.09	239.14	235.00
77.42	633.80	4.64	0.15	5.480	-1.83	1.98	222.17	222.17
77.44	634.08	4.50	0.21	5.160	-1.86	2.07	237.46	235.00
77.46	634.36	4.49	0.19	5.260	-1.82	2.01	227.59	227.59
77.48	634.65		-0.20	5.230	-1.67	1.47	142.84	142.84
77.50	634.93	4.46	-0.04	5.150	-2.09	2.05	233.26	233.26
77.52	635.22	4.50	0.13	5.230	-2.11	2.24	263.77	235.00
77.54	635.50	4.50	-0.21	5.210	-1.97	1.76	188.28	188.28
77.58	636.07	4.56	0.05	5.240	-1.97	2.02	228.41	228.41
77.60	636.35	4.54	-0.01	5.380	-1.79	1.78	191.69	191.69
77.62	636.63	4.53	-0.01	5.280	-1.89	1.88	206.25	206.25
77.64	636.92	4.44	0.15	5.320	-1.80	1.95	217.22	217.22
77.66	637.20	4.45	-0.06	5.430	-1.94	1.88	206.88	206.88
77.68	637.49	4.55	0.10	5.180	-2.13	2.23	261.31	235.00
77.70	637.77	4.64	0.09	5.150	-1.94	2.03	230.47	230.47
77.72	638.05	4.49	0.10	5.190	-1.92	2.02	228.74	228.74
77.74	638.34	4.46	0.10	5.020	-1.93	2.03	230.63	230.63
77.78	638.90	4.47	0.17	4.110	-1.67	1.84	200.11	200.11
77.80	639.19	4.47	0.02	5.110	-1.87	1.89	208.31	208.31
77.82	639.47	4.33	0.28	5.160	-1.83	2.11	242.97	235.00
77.84	639.75	4.39	0.09	5.090	-1.76	1.85	202.19	202.19
77.88	640.32	4.33	0.16	5.300	-1.66	1.82	196.91	196.91
77.90	640.61	4.43	0.19	5.030	-1.75	1.94	216.88	216.88
77.92	640.89	4.08	0.11	4.740	-1.86	1.97	220.44	220.44
77.94	641.17	3.76	0.24	4.910	-1.91	2.15	248.82	235.00
77.98	641.74	3.89	0.06	5.280	-1.82	1.88	207.03	207.03
78.00	642.02	3.97	-0.01	5.060	-2.05	2.04	231.34	231.34
78.02	642.31	4.12	0.04	5.100	-1.90	1.94	216.33	216.33
78.04	642.59	4.32	0.15	4.950	-2.13	2.28	269.53	235.00
78.06	642.88	4.16	0.04	5.100	-2.15	2.19	255.03	235.00
78.12	643.73	4.30	-0.10	5.090	-2.17	2.07	236.94	235.00
78.16	644.29	4.29	-0.05	4.930	-1.94	1.89	209.13	209.13
78.20	644.86	4.30	0.15	5.000	-1.85	2.00	225.78	225.78
78.24	645.43	3.88	-0.19	4.880	-2.11	1.92	212.80	212.80
78.36	647.13	4.11	-0.11	4.960	-2.27	2.16	250.58	235.00
78.40	647.70	4.36	-0.16	5.090	-2.34	2.18	253.96	235.00
78.44	648.27	4.28	0.00	4.990	-2.01	2.01	227.01	227.01
78.48	648.83	4.09	-0.08	4.980	-2.36	2.28	270.11	235.00
78.56	649.97	4.31	0.08	5.010	-2.28	2.36	282.77	235.00
78.60	650.54	3.92	0.02	5.040	-2.16	2.18	253.91	235.00
78.64	651.10	3.54	-0.26	5.010	-2.38	2.12	244.53	235.00
78.68	651.67	4.33	0.22	5.020	-2.24	2.46	297.64	235.00
78.72	652.24	4.13	-0.02	5.120	-2.50	2.48	300.48	235.00
78.76	652.81	4.14	0.33	4.990	-2.28	2.61	321.50	235.00
78.80	653.37	4.16	0.22	4.890	-2.35	2.57	314.84	235.00
78.84	653.94	3.45	0.03	4.830	-2.41	2.44	294.06	235.00
78.92	655.08	3.97	-0.11	4.820	-2.73	2.62	322.97	235.00
78.96	655.64	4.26	0.06	4.790	-2.31	2.37	283.44	235.00
79.00	656.21	4.27	0.04	5.080	-2.04	2.08	238.13	235.00
79.04	656.78	4.11	0.06	4.890	-2.07	2.13	246.41	235.00
79.08	657.35	4.22	0.10	5.050	-2.13	2.23	262.10	235.00
79.12	657.91	4.32	0.05	5.080	-2.03	2.08	238.19	235.00
79.16	658.48	4.14	-0.04	5.010	-1.98	1.94	216.72	216.72
79.20	659.05	3.65	0.05	5.120	-2.17	2.22	260.31	235.00
79.22	659.33	3.88	0.19	4.880	-1.93	2.12	244.37	235.00
79.24	659.61	3.82	0.24	5.150	-2.11	2.35	280.16	235.00
79.29	660.34	3.75	0.02	4.910	-2.44	2.46	297.03	235.00
79.33	660.94	3.76	-0.20	4.790	-2.65	2.45	296.09	235.00
79.42	662.13	3.61	0.08	4.910	-2.01	2.09	239.38	235.00
79.46	662.83	3.62	-0.12	4.910	-2.11	1.99	223.73	223.73
79.48	663.20	3.55	0.04	4.800	-2.00	2.04	232.03	232.03
79.52	663.95	3.46	0.11	4.900	-2.12	2.23	261.38	235.00
79.56	664.69	3.79	-0.06	4.840	-2.25	2.19	255.04	235.00
79.61	665.44	3.61	0.41	4.700	-2.35	2.76	344.93	235.00
79.65	666.18	3.65	-0.14	4.720	-2.31	2.17	252.34	235.00
79.69	666.92	3.37	-0.13	4.760	-2.44	2.31	273.46	235.00
79.73	667.65	3.50	-0.09	4.800	-2.44	2.35	280.47	235.00
79.77	668.38	3.53	-0.09	4.860	-2.23	2.14	247.66	235.00
79.81	669.11	3.50	-0.09	4.840	-2.17	2.08	237.95	235.00
79.86	669.83	3.38	0.32	4.720	-2.13	2.45	296.83	235.00
79.98	672.02	3.51	0.15	4.620	-2.20	2.35	281.17	235.00
80.00	672.38	3.13	-0.10	4.840	-2.12	2.02	228.69	228.69
80.04	673.11	3.93	0.36	4.700	-2.08	2.44	295.27	235.00
80.06	673.48	3.91	0.45	4.690	-2.09	2.54	309.69	235.00
80.10	674.20	3.85	0.50	4.710	-2.05	2.55	311.39	235.00
80.14	674.93	3.74	0.22	4.760	-2.01	2.23	261.68	235.00
80.18	675.66	3.82	0.54	4.470	-2.16	2.70	335.65	235.00
80.23	676.39	3.78	0.59	4.580	-2.23	2.82	353.91	235.00
80.27	677.12	3.74	0.42	4.620	-2.12	2.54	310.26	235.00
80.31	677.85	3.74	0.62	4.610	-2.08	2.70	335.16	235.00
80.35	678.58	3.71	0.53	4.570	-2.14	2.67	330.62	235.00
80.44	680.11	3.55	0.55	4.320	-2.30	2.85	358.44	235.00
80.48	680.90	3.77	0.47	4.670	-2.24	2.71	337.03	235.00
80.52	681.68	3.75	0.39	4.640	-2.12	2.51	304.84	235.00
80.57	682.46	3.67	0.49	4.600	-1.85	2.34	278.75	235.00
80.66	684.03	3.47	0.48	4.430	-2.30	2.78	346.88	235.00
80.68	684.42	3.54	0.56	4.480	-2.21	2.77	346.72	235.00
80.72	685.20	2.88	0.53	4.190	-2.48	3.01	383.28	235.00
80.77	685.99	3.43	0.44	4.280	-2.32	2.76	344.53	235.00
80.83	686.81	3.54	0.30	4.590	-2.05	2.35	279.84	235.00
80.90	687.47	3.02	0.46	4.490	-2.07	2.53	309.06	235.00
80.92	687.69	3.79	0.48	4.510	-2.08	2.56	313.28	235.00
80.97	688.13	3.67	0.64	4.460	-2.01	2.65	326.83	235.00
81.01	688.57	3.31	0.43	4.340	-2.00	2.43	292.66	235.00
81.06	689.00	3.39	0.45	4.320	-2.19	2.64	326.41	235.00
81.19	690.32	3.33	0.65	4.160	-2.18	2.83	355.71	235.00
81.21	690.54	3.15	0.61	4.190	-2.04	2.65	327.81	235.00
81.26	690.98	3.33	0.59	4.160	-2.00	2.59	317.97	235.00
81.28	691.20	3.32	0.70	4.190	-1.91	2.61	321.13	235.00
81.32	691.63	3.31	0.41	4.190	-1.98	2.39	286.27	235.00
81.41	692.51	3.33	0.54	4.170	-2.05	2.59	317.97	235.00
81.44	692.82	3.21	0.71	3.490	-2.15	2.86	360.31	235.00
81.47	693.10	3.08	0.93	4.140	-2.14	3.07	392.80	235.00
81.49	693.28	2.64	0.60	4.130	-2.08	2.68	332.19	235.00
81.53	693.74	2.65	0.74	4.120	-2.12	2.86	360.00	235.00
81.60	694.35	2.84	0.66	3.720	-2.30	2.96	376.41	235.00
81.63	694.66	3.05	0.63	3.630	-2.25	2.88	363.59	235.00
81.64	694.80		0.52	4.020	-2.21	2.73	339.84	235.00
81.64	694.80	3.05	0.59	4.020	-2.21	2.80	350.78	235.00
81.66	694.97	2.70	0.78	3.990	-1.95	2.73	340.16	235.00
