/* DATA DESCRIPTION:
Citation:	Tiedemann, Ralf (1991): Stable isotopes measured on foraminifera from Site 108-659. PANGAEA, https://doi.org/10.1594/PANGAEA.194774
Related to:	Tiedemann, Ralf (1991): Acht Millionen Jahre Klimageschichte von Nordwest Afrika und Paläo-Ozeanographie des angrenzenden Atlantiks: Hochauflösende Zeitreihen von ODP-Sites 658-661. Berichte-Reports, Geologisch-Paläontologisches Institut der Universität Kiel, 46, 190 pp, https://doi.org/10.2312/reports-gpi.1991.46
Project(s):	Ocean Drilling Program (ODP) (URI: http://www-odp.tamu.edu/)
Coverage:	LATITUDE: 18.077200 * LONGITUDE: -21.026200
	DATE/TIME START: 1986-03-09T00:00:00 * DATE/TIME END: 1986-03-12T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.11 m * MAXIMUM DEPTH, sediment/rock: 139.21 m
Event(s):	108-659 * LATITUDE: 18.077200 * LONGITUDE: -21.026200 * DATE/TIME START: 1986-03-09T00:00:00 * DATE/TIME END: 1986-03-12T00:00:00 * ELEVATION: -3082.3 m * Penetration: 671.9 m * Recovery: 411.2 m * LOCATION: North Atlantic Ocean * CAMPAIGN: Leg108 (URI: https://doi.org/10.2973/odp.proc.ir.108.1988) * BASIS: Joides Resolution (URI: http://www-odp.tamu.edu/resolutn.html) * METHOD/DEVICE: Composite Core (COMPCORE) * COMMENT: 59 cores; 551.9 m cored; 0 m drilled; 74.5% recovery
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Depth, composite [mcd] (Depth comp) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Intercore correlation
	Sample code/label (Sample label) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: DSDP/ODP/IODP sample designation (URI: hdl:10013/epic.27914.d001)
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globorotalia inflata, δ18O [‰ PDB] (G. inflata δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globorotalia inflata, δ13C [‰ PDB] (G. inflata δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globigerinoides sacculifer, δ18O [‰ PDB] (G. sacculifer δ18O) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
	Globigerinoides sacculifer, δ13C [‰ PDB] (G. sacculifer δ13C) * PI: Tiedemann, Ralf (https://orcid.org/0000-0001-7211-8049, ralf.tiedemann@awi.de, http://www.awi.de/en/about-us/organisation/staff/ralf-tiedemann.html) * METHOD/DEVICE: Mass spectrometer Finnigan MAT 251
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	3625 data points
*/
Depth [m]	Age [ka BP]	Depth comp [mcd]	Sample label	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	G. inflata δ18O [‰ PDB]	G. inflata δ13C [‰ PDB]	G. sacculifer δ18O [‰ PDB]	G. sacculifer δ13C [‰ PDB]
60.23	2021.5	62.99	108-659A-7H-4,43-47	3.28	0.30				
60.62	2032.0	63.38	108-659A-7H-4,82-85	3.65	-0.07				
60.71	2118.3	66.28	108-659B-7H-5,60-62	3.33	0.30				
60.95	2040.8	63.71	108-659A-7H-4,115-118	3.11	0.72				
61.09	2044.5	63.85	108-659A-7H-4,130-132	2.96	0.68				
61.26	2049.0	64.02	108-659A-7H-4,146-149	2.91	0.68				
61.42	2052.3	64.18	108-659A-7H-5,12-16	3.04	0.61				
61.61	2056.2	64.37	108-659A-7H-5,31-34	3.11	0.47				
61.75	2059.1	64.51	108-659A-7H-5,45-49	3.41	0.36				
62.04	2068.3	64.80	108-659A-7H-5,74-78	3.19	0.50				
62.21	2177.0	67.83	108-659B-7H-6,60-62	2.77	0.49			-0.24	1.88
62.22	2073.9	64.98	108-659A-7H-5,92-95	3.02	0.39				
62.31	2076.8	65.07	108-659A-7H-5,102-104	2.79	0.23				
62.46	2081.5	65.22	108-659A-7H-5,116-119	3.03	0.44				
62.59	2085.6	65.35	108-659A-7H-5,130-132	2.92	0.51				
62.76	2091.0	65.52	108-659A-7H-5,146-149	2.81	0.54				
62.92	2096.2	65.68	108-659A-7H-6,12-16	2.80	0.32				
63.03	2099.8	65.79	108-659A-7H-6,23-27	3.08	0.24				
63.15	2103.8	65.91	108-659A-7H-6,35-39	3.41	0.43				
63.34	2213.3	69.05	108-659B-7H-7,23-25	3.03	0.33				
63.56	2120.1	66.32	108-659A-7H-6,76-79	3.00	0.39				
63.81	2131.6	66.57	108-659A-7H-6,102-104	2.53	0.68				
63.95	2138.0	66.71	108-659A-7H-6,115-119	2.66	0.71				
64.09	2142.1	66.85	108-659A-7H-6,130-132	2.71	0.58				
64.21	2265.6	70.76	108-659B-8H-1,60-62	2.37	0.68			-0.51	2.09
64.23	2145.6	66.97	108-659A-7H-6,143-146	2.95	0.54				
64.37	2148.2	67.06	108-659A-7H-7,7-11	3.13	0.51				
64.42	2149.7	67.11	108-659A-7H-7,12-16	3.17	0.50				
64.61	2155.1	67.27	108-659A-7H-7,32-34	3.42	0.26				
64.67	2155.9	67.29	108-659A-7H-7,38-40	3.28	0.29				
64.84	2189.5	68.25	108-659A-8H-1,2-6	3.31	0.48				
65.14	2213.6	69.06	108-659A-8H-1,32-35	3.26	0.34				
65.22	2215.9	69.14	108-659A-8H-1,40-44	3.15	0.17				
65.27	2217.4	69.19	108-659A-8H-1,45-49	3.01	0.25				
65.39	2221.0	69.31	108-659A-8H-1,57-61	2.23	0.33				
65.57	2228.0	69.49	108-659A-8H-1,75-79	2.82	0.61				
65.70	2233.0	69.62	108-659A-8H-1,88-92	3.10	0.56				
65.71	2317.0	72.17	108-659B-8H-2,60-62	3.18	0.52			-0.30	1.34
65.83	2238.0	69.75	108-659A-8H-1,102-104	3.43	0.66				
65.96	2241.5	69.88	108-659A-8H-1,115-117	3.21	0.26				
66.26	2249.7	70.18	108-659A-8H-2,22-26	3.16	0.64				
66.37	2252.7	70.29	108-659A-8H-2,33-37	2.87	0.71				
66.44	2254.6	70.36	108-659A-8H-2,40-44	2.85	0.85				
67.05	2271.4	70.97	108-659A-8H-2,102-104	3.26	0.67			-0.20	1.47
67.18	2275.0	71.10	108-659A-8H-2,115-117	3.34	0.41			-0.36	2.11
67.21	2356.3	73.59	108-659B-8H-3,60-62	2.88	0.53			-0.11	1.59
67.35	2282.8	71.27	108-659A-8H-2,131-135	2.39	0.30				
67.46	2287.9	71.38	108-659A-8H-2,143-145	2.80	0.70				
67.79	2303.1	71.71	108-659A-8H-3,25-29	2.83	0.40				
67.92	2307.0	71.84	108-659A-8H-3,38-41	3.04	0.50				
67.94	2307.6	71.86	108-659A-8H-3,40-44	3.26	0.59			0.25	1.63
68.37	2320.4	72.29	108-659A-8H-3,83-87	3.88	0.32				
68.55	2325.4	72.47	108-659A-8H-3,102-104	3.65	0.25			-0.19	1.94
68.68	2329.1	72.60	108-659A-8H-3,115-117	2.78	0.70				
68.71	2413.9	75.08	108-659B-8H-4,60-62					0.09	1.40
68.85	2333.8	72.77	108-659A-8H-3,131-134	2.83	0.77				
69.28	2345.7	73.20	108-659A-8H-4,24-27	2.85	0.67				
69.43	2349.8	73.35	108-659A-8H-4,38-43	2.98	0.54				
69.44	2350.0	73.36	108-659A-8H-4,40-44	3.15	0.48			0.14	1.51
69.88	2362.0	73.80	108-659A-8H-4,84-87	3.75	0.50				
70.05	2373.3	73.97	108-659A-8H-4,102-104	2.96	0.65			-0.18	1.80
70.18	2382.0	74.10	108-659A-8H-4,115-117	2.42	0.31			-0.31	1.66
70.33	2387.5	74.25	108-659A-8H-4,128-133	2.95	0.55				
70.47	2392.6	74.39	108-659A-8H-4,143-147	3.15	0.33				
70.62	2398.1	74.54	108-659A-8H-5,8-11	3.75	0.10				
70.79	2404.3	74.71	108-659A-8H-5,25-29	3.70	-0.02				
70.91	2407.4	74.83	108-659A-8H-5,37-41	3.28	-0.02				
70.94	2408.2	74.86	108-659A-8H-5,40-44	3.86	-0.20			-0.15	1.45
71.37	2419.3	75.29	108-659A-8H-5,83-87	2.72	0.64				
71.55	2424.0	75.47	108-659A-8H-5,102-104	2.50	0.12			-0.64	1.71
71.68	2428.3	75.60	108-659A-8H-5,115-117					-0.42	1.85
71.71	2526.6	78.04	108-659B-8H-6,60-62	3.45	0.15				
71.88	2435.0	75.80	108-659A-8H-5,134-137	3.16	0.69				
72.29	2448.1	76.21	108-659A-8H-6,25-29	3.07	0.57				
72.44	2452.7	76.36	108-659A-8H-6,40-44	2.61	0.47			-0.40	1.71
72.52	2455.1	76.44	108-659A-8H-6,48-52	2.88	0.56				
72.78	2463.0	76.70	108-659A-8H-6,75-77	2.58	0.49			-0.48	1.91
72.83	2465.5	76.75	108-659A-8H-6,80-82	2.58	0.61			-0.40	1.79
73.03	2475.6	76.95	108-659A-8H-CC,8-12	2.82	0.63				
73.73	2565.0	79.75	108-659B-9H-1,62-64	3.41	0.30			-0.10	1.55
74.35	2523.0	77.89	108-659A-9H-1,3-7	3.61	0.31				
74.49	2528.6	78.12	108-659A-9H-1,17-20	3.16	0.51				
74.62	2534.2	78.35	108-659A-9H-1,30-34	2.33	0.50				
74.80	2541.7	78.66	108-659A-9H-1,48-52	2.57	0.71			-0.34	2.00
74.93	2546.7	78.88	108-659A-9H-1,61-65	2.67	0.65				
75.07	2549.7	79.02	108-659A-9H-1,75-79	2.73	0.45				
75.23	2553.0	79.18	108-659A-9H-1,91-95	2.71	0.70				
75.23	2625.2	81.26	108-659B-9H-2,62-64	2.62	0.44			-0.64	1.89
75.32	2554.9	79.27	108-659A-9H-1,101-103	2.87	0.64			-0.49	1.93
75.46	2557.9	79.41	108-659A-9H-1,114-118	2.93	0.52				
75.61	2561.0	79.56	108-659A-9H-1,130-132	3.15	0.43			-0.06	1.51
75.94	2570.5	79.89	108-659A-9H-2,12-16	3.22	0.46			-0.13	1.86
76.08	2576.0	80.03	108-659A-9H-2,26-30	3.08	0.25				
76.32	2589.3	80.27	108-659A-9H-2,50-54	3.52	0.05				
76.53	2601.0	80.48	108-659A-9H-2,71-75	3.52	0.12				
76.74	2606.4	80.69	108-659A-9H-2,92-96	3.29	0.41				
76.82	2608.5	80.77	108-659A-9H-2,101-103	3.14	0.59			-0.07	2.23
76.99	2612.9	80.94	108-659A-9H-2,117-120	2.84	0.66				
77.11	2616.0	81.06	108-659A-9H-2,130-132	2.26	0.78			-0.62	1.62
77.44	2631.2	81.39	108-659A-9H-3,12-16	2.61	0.66			-0.35	1.87
77.58	2637.6	81.53	108-659A-9H-3,26-30	2.68	0.19				
77.74	2645.0	81.69	108-659A-9H-3,42-46	2.88	0.34				
78.17	2657.8	82.12	108-659A-9H-3,85-89	2.73	0.63				
78.32	2662.2	82.27	108-659A-9H-3,101-103	2.62	0.63			-0.73	1.85
78.48	2667.0	82.43	108-659A-9H-3,116-119	2.56	0.64				
78.61	2672.1	82.56	108-659A-9H-3,130-132					-0.33	1.78
78.81	2763.5	85.19	108-659B-10H-1,60-62	3.02	0.58			-0.32	2.07
78.94	2685.0	82.89	108-659A-9H-4,12-16	3.27	0.19			-0.20	1.62
79.07	2689.1	83.02	108-659A-9H-4,25-29	3.14	0.19				
79.18	2692.5	83.13	108-659A-9H-4,36-40	2.95	0.57				
79.68	2708.2	83.63	108-659A-9H-4,86-89	2.72	0.48				
79.82	2713.5	83.77	108-659A-9H-4,101-103	2.86	0.25			-0.36	2.01
79.97	2719.1	83.92	108-659A-9H-4,115-119	2.91	0.58				
80.11	2724.4	84.06	108-659A-9H-4,130-132	2.87	0.41			-0.27	1.96
80.24	2807.2	86.47	108-659B-10H-2,53-55					-0.41	1.70
80.26	2730.0	84.21	108-659A-9H-4,144-148	2.98	0.61				
80.44	2736.1	84.39	108-659A-9H-5,12-16	2.72	0.73			-0.36	2.13
80.56	2740.2	84.51	108-659A-9H-5,24-28	2.64	0.47				
80.71	2745.4	84.66	108-659A-9H-5,39-43	2.72	0.43				
81.04	2756.6	84.99	108-659A-9H-5,72-76	3.13	0.59				
81.15	2760.4	85.10	108-659A-9H-5,83-87	3.05	0.48				
81.32	2766.2	85.27	108-659A-9H-5,101-103	2.79	0.67			-0.39	1.97
81.47	2771.3	85.42	108-659A-9H-5,115-118	2.94	0.82				
81.61	2776.1	85.56	108-659A-9H-5,130-132	3.08	0.37			-0.21	1.85
81.76	2781.2	85.71	108-659A-9H-5,144-148	2.88	0.65				
81.94	2787.4	85.89	108-659A-9H-6,12-16	2.81	0.49			-0.63	1.94
82.17	2795.2	86.12	108-659A-9H-6,35-39	3.26	0.46				
82.31	2800.0	86.26	108-659A-9H-6,50-52	3.15	0.03			-0.25	1.67
82.41	2803.4	86.36	108-659A-9H-6,60-62	3.27	0.01			-0.19	1.52
82.43	2804.1	86.38	108-659A-9H-6,61-65	3.16	0.07				
82.58	2809.2	86.53	108-659A-9H-CC,9-14	3.02	0.40				
83.31	2898.0	89.13	108-659B-10H-4,60-62	2.66	0.42			-0.72	1.63
83.85	2852.6	87.80	108-659A-10H-1,3-6	3.07	0.44				
83.94	2855.6	87.89	108-659A-10H-1,12-16	2.94	0.36			-0.44	1.15
84.08	2860.4	88.03	108-659A-10H-1,26-30	2.93	-0.12				
84.26	2866.6	88.21	108-659A-10H-1,44-48	2.67	0.01				
84.43	2872.4	88.38	108-659A-10H-1,61-65	3.06	0.48				
84.56	2876.8	88.51	108-659A-10H-1,74-78	2.81	0.23				
84.71	2881.9	88.66	108-659A-10H-1,90-92	2.58	0.31			-0.49	1.50
84.81	2942.4	90.43	108-659B-10H-5,60-62	2.55	0.41			-0.57	1.90
84.86	2887.1	88.81	108-659A-10H-1,104-107	2.83	0.36				
85.21	2899.0	89.16	108-659A-10H-1,104-142	2.73	0.18				1.10
85.41	2905.8	89.36	108-659A-10H-2,12-16	2.77	0.39			-0.45	1.85
85.60	2912.3	89.55	108-659A-10H-2,31-35	2.65	0.50				
85.93	2923.6	89.88	108-659A-10H-2,64-68	2.33	0.55				
86.08	2928.7	90.03	108-659A-10H-2,80-82	2.53	0.39			-0.64	1.93
86.22	2933.5	90.17	108-659A-10H-2,93-97	2.37	0.40				
86.31	2988.8	91.79	108-659B-10H-6,60-62	2.81	0.54			-0.31	1.74
86.68	2949.2	90.63	108-659A-10H-2,140-142					-0.65	2.07
86.81	2953.6	90.76	108-659A-10H-3,2-6	2.55	0.71				
86.91	2957.0	90.86	108-659A-10H-3,12-16	2.45	0.64			-0.78	2.02
86.95	2958.4	90.90	108-659A-10H-3,16-20	2.62	0.83				
87.08	2962.9	91.03	108-659A-10H-3,29-33	2.59	0.40				
87.40	2973.8	91.35	108-659A-10H-3,61-65	2.87	0.45				
87.53	2978.2	91.48	108-659A-10H-3,74-77	2.80	0.49				
87.68	2983.3	91.63	108-659A-10H-3,90-92	2.72	0.52			-0.54	1.54
87.78	2986.8	91.73	108-659A-10H-3,100-102	2.84	0.53			-0.20	1.55
87.88	2990.2	91.83	108-659A-10H-3,110-112	2.75	0.18			-0.84	1.36
88.18	3000.4	92.13	108-659A-10H-3,140-142	2.86	0.23			-0.95	1.40
88.32	3005.2	92.27	108-659A-10H-4,3-6	2.13	0.50				
88.43	3008.9	92.38	108-659A-10H-4,12-16	2.42	0.72			-1.27	1.51
88.61	3015.1	92.56	108-659A-10H-4,32-35	2.49	0.40				
88.71	3039.0	93.26	108-659B-11H-1,60-62	2.52	0.61			-0.65	1.91
88.73	3019.2	92.68	108-659A-10H-4,44-48	2.45	0.58				
89.01	3028.7	92.96	108-659A-10H-4,72-75	2.51	0.52				
89.18	3034.6	93.13	108-659A-10H-4,90-92	2.48	0.59			-0.73	1.96
89.48	3044.8	93.43	108-659A-10H-4,119-123	2.51	0.57				
89.68	3051.6	93.63	108-659A-10H-4,140-142	2.48	0.33			-0.74	2.21
89.81	3056.1	93.76	108-659A-10H-5,2-6	2.41	0.26				
89.91	3059.5	93.86	108-659A-10H-5,12-16	2.19	0.50			-0.48	2.03
90.07	3064.9	94.02	108-659A-10H-5,28-32	2.34	0.68				
90.21	3090.2	94.76	108-659B-11H-2,60-62					-0.88	2.05
90.23	3070.4	94.18	108-659A-10H-5,44-48	2.44	0.71				
90.68	3085.8	94.63	108-659A-10H-5,90-92	2.62	0.47			-0.57	1.78
91.01	3097.0	94.96	108-659A-10H-5,122-125	2.36	0.72				
91.18	3102.8	95.13	108-659A-10H-5,140-142					-0.77	1.87
91.31	3107.3	95.26	108-659A-10H-6,3-6	2.49	0.76				
91.41	3110.7	95.36	108-659A-10H-6,12-16	2.66	0.63			-0.58	2.12
91.58	3116.5	95.53	108-659A-10H-6,29-33	2.53	0.75				
91.71	3141.4	96.26	108-659B-11H-3,60-62	2.57	0.53			-0.54	1.51
91.73	3121.6	95.68	108-659A-10H-6,44-48	2.68	0.66				
91.88	3126.7	95.83	108-659A-10H-6,59-62	2.55	0.49				
92.03	3131.9	95.98	108-659A-10H-6,74-78	1.96	0.13				
92.18	3137.0	96.13	108-659A-10H-6,90-92					-0.89	1.87
92.20	3137.7	96.15	108-659A-10H-6,90-94	1.89	0.36				
93.21	3192.3	97.75	108-659B-11H-4,60-62	2.76	0.50			-0.69	1.79
93.36	3177.3	97.31	108-659A-11H-1,4-8	2.51	0.41				
93.64	3186.8	97.59	108-659A-11H-1,32-36	2.54	0.53				
93.70	3188.9	97.65	108-659A-11H-1,38-42	2.55	0.62				
94.02	3199.8	97.97	108-659A-11H-1,70-74	2.50	0.48				
94.12	3203.2	98.07	108-659A-11H-1,80-84	2.44	0.43				
94.21	3206.3	98.16	108-659A-11H-1,90-92	2.37	0.64			-0.59	1.96
94.38	3212.1	98.33	108-659A-11H-1,106-110	2.47	0.71				
94.57	3218.6	98.52	108-659A-11H-1,125-129	2.75	0.42				
94.71	3223.4	98.66	108-659A-11H-1,140-142	2.92	0.09			-0.49	2.04
94.71	3240.8	99.17	108-659B-11H-5,60-62	2.65	0.55			-0.79	1.82
94.86	3228.5	98.81	108-659A-11H-2,12-16	2.75	0.40			-0.47	1.89
95.01	3233.6	98.96	108-659A-11H-2,27-31	2.41	0.64				
95.17	3239.1	99.12	108-659A-11H-2,43-47	2.55	0.39				
95.58	3253.1	99.53	108-659A-11H-2,84-87	2.59	0.43				
95.65	3255.5	99.60	108-659A-11H-2,92-94	2.49	0.26			-0.59	1.46
95.84	3261.9	99.79	108-659A-11H-2,110-114	2.29	0.57				
96.13	3271.8	100.08	108-659A-11H-2,140-142	2.42	0.62			-0.99	1.88
96.21	3285.8	100.49	108-659B-11H-6,60-62					-0.46	1.92
96.46	3283.1	100.41	108-659A-11H-3,14-18					-0.41	2.40
96.76	3293.3	100.71	108-659A-11H-3,44-47	1.87	0.26				
97.05	3303.3	101.00	108-659A-11H-3,73-77	2.13	0.79				
97.23	3309.4	101.18	108-659A-11H-3,92-94	2.19	0.69			-0.73	2.13
97.39	3314.9	101.34	108-659A-11H-3,107-110	2.54	0.61				
97.60	3322.0	101.55	108-659A-11H-3,129-131	2.44	0.73			-0.74	2.16
97.94	3333.6	101.89	108-659A-11H-4,12-16	2.56	0.71			-0.70	2.24
98.12	3339.8	102.07	108-659A-11H-4,30-34	2.29	0.45				
98.21	3360.3	102.67	108-659B-12H-1,60-62					-0.78	2.15
98.31	3346.3	102.26	108-659A-11H-4,49-53	2.22	0.77				
98.37	3363.7	102.77	108-659B-12H-1,66-68	2.57	0.57			-0.82	2.23
98.51	3367.1	102.87	108-659B-12H-1,90-92	2.58	0.70			-0.78	2.88
98.73	3360.6	102.68	108-659A-11H-4,92-94					-0.54	1.87
98.88	3365.7	102.83	108-659A-11H-4,106-110	2.50	0.35				
99.02	3377.7	103.18	108-659B-12H-1,140-144	3.41	0.72				
99.21	3377.0	103.16	108-659A-11H-4,140-142	2.45	0.16			-0.77	1.92
99.44	3384.9	103.39	108-659A-11H-5,12-16	2.61	1.01			-0.58	1.63
99.57	3397.8	103.77	108-659B-12H-2,45-49	2.64	1.02				
99.71	3402.9	103.92	108-659B-12H-2,60-62	2.53	0.88			-0.71	2.13
99.87	3407.4	104.05	108-659B-12H-2,66-68	2.31	0.85			-0.69	2.04
100.01	3408.7	104.09	108-659B-12H-2,90-92	2.29	0.69			-0.92	2.05
100.23	3411.8	104.18	108-659A-11H-5,92-94	2.20	0.81				
100.41	3348.3	102.32	108-659C-5H-1,40-42	2.35	0.71			-0.87	2.20
100.51	3426.8	104.62	108-659B-12H-2,140-142	2.80	0.62			-0.37	1.83
100.71	3428.2	104.66	108-659A-11H-5,140-142	2.85	0.75			-0.50	1.94
100.72	3435.4	104.87	108-659B-12H-3,10-14	3.12	0.78				
100.93	3363.0	102.75	108-659C-5H-1,92-94	2.52	0.51			-0.75	2.14
100.94	3436.1	104.89	108-659A-11H-6,12-16	3.05	0.76			-0.66	2.32
101.21	3370.9	102.98	108-659C-5H-1,120-122					-0.94	2.22
101.21	3452.8	105.38	108-659B-12H-3,60-62	2.40	0.40			-0.87	1.94
101.27	3454.8	105.44	108-659B-12H-3,66-68	2.42	0.67			-0.77	1.90
101.41	3376.0	103.13	108-659C-5H-1,140-142	2.40	0.71			-1.14	1.69
101.51	3463.0	105.68	108-659B-12H-3,90-92	2.69	0.74			-1.00	2.02
101.63	3467.1	105.80	108-659B-12H-3,101-104	2.98	0.60				
101.91	3391.3	103.58	108-659C-5H-2,40-42	2.69	0.63			-0.72	2.32
102.01	3480.1	106.18	108-659B-12H-3,0-142	2.40	0.86			-0.74	2.00
102.16	3485.2	106.33	108-659B-12H-4,4-8	2.34	0.83				
102.43	3410.1	104.13	108-659C-5H-2,92-94	2.47	0.72			-0.98	1.95
102.71	3418.7	104.38	108-659C-5H-2,121	2.55	0.71			-1.03	1.97
102.71	3504.0	106.88	108-659B-12H-4,60-62					-0.62	1.89
102.77	3506.1	106.94	108-659B-12H-4,66-68	2.75	0.52			-0.56	1.55
102.91	3424.8	104.56	108-659C-5H-2,140-142	2.38	0.68			-0.54	1.94
103.01	3514.2	107.18	108-659B-12H-4,90-92	2.27	0.76			-0.58	1.67
103.39	3527.2	107.56	108-659B-12H-4,128-130	2.49	0.84			-0.70	1.65
103.41	3442.6	105.08	108-659C-5H-3,40-42	2.65	0.47			-0.55	1.73
103.51	3531.3	107.68	108-659B-12H-4,140-142					-0.75	1.83
103.57	3526.5	107.54	108-659A-12H-1,90-92					-0.46	1.73
103.73	3538.8	107.90	108-659B-12H-5,11-15	2.89	0.63				
103.93	3460.3	105.60	108-659C-5H-3,92-94	2.63	0.79			-0.75	1.85
103.94	3546.0	108.11	108-659B-12H-5,32-35	2.49	0.29				
103.97	3540.5	107.95	108-659A-12H-1,130-132					-0.86	1.58
104.12	3552.1	108.29	108-659B-12H-5,51-53	1.84	0.50				
104.21	3469.2	105.86	108-659C-5H-3,120-122	2.77	0.57			-0.61	1.89
104.21	3555.2	108.38	108-659B-12H-5,60-62	2.36	0.71			-0.73	1.54
104.27	3557.3	108.44	108-659B-12H-5,66-68	2.58	0.72			-0.60	1.88
104.41	3475.7	106.05	108-659C-5H-3,140-142	2.41	0.84			-0.90	1.59
104.43	3562.0	108.60	108-659B-12H-5,81-84	2.59	0.62				
104.51	3564.0	108.68	108-659B-12H-5,90-92	2.47	0.62			-0.60	1.62
104.67	3568.1	108.84	108-659B-12H-5,104-109	2.24	0.49				
104.89	3573.6	109.06	108-659B-12H-5,128-130	2.52	0.64			-0.55	1.66
104.91	3491.7	106.52	108-659C-5H-4,40-42	2.31	0.84			-0.75	1.89
105.01	3576.7	109.18	108-659B-12H-5,140-142	2.40	0.25			-0.70	1.67
105.17	3580.7	109.34	108-659B-12H-6,5-9	2.45	0.49				
105.42	3587.0	109.59	108-659B-12H-6,30-34	2.52	0.31				
105.43	3508.8	107.02	108-659C-5H-4,92-9	2.53	0.61			-0.80	1.72
105.62	3592.1	109.79	108-659B-12H-6,50-54	2.64	0.08				
105.71	3518.0	107.29	108-659C-5H-4,120-122	2.37	0.24			-1.14	1.84
105.71	3594.3	109.88	108-659B-12H-6,60-62	2.63	0.47			-0.71	1.33
105.77	3595.8	109.94	108-659B-12H-6,66-68	2.22	0.46			-0.98	1.73
105.87	3598.4	110.04	108-659B-12H-6,75-79	2.21	0.52				
105.91	3524.5	107.48	108-659C-5H-4,140-142	2.69	0.36			-0.45	1.68
106.01	3601.9	110.18	108-659B-12H-6,90-92	2.16	0.64			-0.80	1.86
106.39	3611.5	110.56	108-659B-12H-6,128-130	2.41	0.54			-0.71	1.48
106.41	3541.6	107.98	108-659C-5H-5,40-42	2.71	0.71			-0.30	1.67
106.51	3614.5	110.68	108-659B-12H-6,140-142	2.47	0.72			-0.86	1.80
106.93	3558.0	108.46	108-659C-5H-5,92-94	2.43	0.49			-0.74	1.81
107.21	3565.6	108.74	108-659C-5H-5,120-122	2.50	0.70			-0.89	1.82
107.41	3570.3	108.93	108-659C-5H-5,140-142	2.43	0.74			-0.52	1.44
107.51	3639.7	111.68	108-659B-13H-1,40-42	2.55	0.43			-0.79	1.83
107.91	3584.0	109.47	108-659C-5H-6,40-42	2.39	0.34			-0.55	1.53
108.02	3652.6	112.19	108-659B-13H-1,90-94	1.94	0.27			-0.51	1.27
108.27	3592.1	109.79	108-659C-5H-6,75-79	2.71	0.41				
108.43	3595.1	109.91	108-659C-5H-6,92-94	2.51	0.62			-1.22	1.72
108.51	3665.0	112.68	108-659B-13H-1,140-142	2.25	0.62			-0.70	1.88
108.57	3599.6	110.09	108-659C-5H-6,105-109	2.32	0.64				
108.71	3603.7	110.25	108-659C-5H-6,120-122	2.14	0.64			-0.93	1.53
108.83	3607.2	110.39	108-659C-5H-6,131-134	2.58	0.58				
108.91	3610.7	110.53	108-659C-5H-6,140-142	2.40	0.60			-0.73	1.74
109.01	3677.6	113.18	108-659B-13H-2,40-42	2.58	0.83			-1.02	1.72
109.21	3682.7	113.38	108-659B-13H-2,60-62	2.63	0.72			-0.79	1.65
109.52	3690.5	113.69	108-659B-13H-2,90-94	2.65	0.63			-0.74	1.39
109.54	3638.7	111.64	108-659C-6H-1,2-6	2.57	0.61				
109.67	3644.5	111.87	108-659C-6H-1,15-18	2.35	0.68				
109.83	3651.4	112.14	108-659C-6H-1,31-35	2.09	0.23				
109.91	3653.1	112.21	108-659C-6H-1,40-42	2.29	0.35			-0.63	1.62
109.97	3654.6	112.27	108-659C-6H-1,45-48	2.51	0.33				
