/* DATA DESCRIPTION:
Citation:	Hoogakker, Babette A A; Elderfield, Henry; Schmiedl, Gerhard; McCave, I Nick; Rickaby, Rosalind E M; Shackleton, Nicholas J (2015): Bottom water oxygen reconstructions Iberian Margin sediment core MD95-2042 between 0 and 150,000 years BP. PANGAEA, https://doi.org/10.1594/PANGAEA.856564, 
	Supplement to: Hoogakker, Babette A A; Elderfield, Henry; Schmiedl, Gerhard; McCave, I Nick; Rickaby, Rosalind E M (2015): Glacial–interglacial changes in bottom-water oxygen content on the Portuguese margin. Nature Geoscience, 8(1), 40-43, https://doi.org/10.1038/ngeo2317
Abstract:	During the last and penultimate glacial maxima, atmospheric CO2 concentrations were lower than present, possibly in part because of increased storage of respired carbon in the deep oceans (Sigman and Boyle, 2000, doi:10.1038/35038000). The amount of respired carbon present in a water mass can be calculated from its oxygen content through apparent oxygen utilization; the oxygen content can in turn be calculated from the carbon isotope gradient within the sediment column (McCorkle and Emerson, 1988, doi:10.1016/0016-7037(88)90270-0). Here we analyse the shells of benthic foraminifera occurring at the sediment surface and the oxic/anoxic interface on the Portuguese Margin to reconstruct the carbon isotope gradient and hence bottom-water oxygenation over the past 150,000 years. We find that bottom-water oxygen concentrations were 45 and 65 µmol/kg lower than present during the last and penultimate glacial maxima, respectively. We calculate that concentrations of remineralized organic carbon were at least twice as high as today during the glacial maxima. We attribute these changes to decreased ventilation linked to a reorganization of ocean circulation (McManus et al., 2004, doi:10.1038/nature02494) and a strengthened global biological pump (Kohfeld et al., 2005, doi:10.1126/science.1105375). If the respired carbon pool was of a similar size throughout the entire glacial deep Atlantic basin, then this sink could account for 15 and 20 per cent of the glacial PCO2 drawdown during the last and penultimate glacial maxima.
Related to:	Shackleton, Nicholas J; Hall, Michael A; Vincent, Edith (2000): Phase relationships between millennial-scale events 64,000-24,000 years ago. Paleoceanography, 15(6), 565-569, https://doi.org/10.1029/2000PA000513
Source data set:	Shackleton, Nicholas J; Hall, Michael A; Vincent, Edith (2000): Stable carbon and oxygen isotope ratios of benthic foraminifera from sediment core MD95-2042 on the Iberian margin, North Atlantic. PANGAEA, https://doi.org/10.1594/PANGAEA.58220 (original d13C data)
Coverage:	LATITUDE: 37.799833 * LONGITUDE: -10.166500
	DATE/TIME START: 1995-07-09T00:00:00 * DATE/TIME END: 1995-07-09T00:00:00
	MINIMUM DEPTH, sediment/rock: 0.00 m * MAXIMUM DEPTH, sediment/rock: 29.80 m
Event(s):	MD95-2042 (MD952042) * LATITUDE: 37.799833 * LONGITUDE: -10.166500 * DATE/TIME: 1995-07-09T00:00:00 * ELEVATION: -3146.0 m * Recovery: 40 m * LOCATION: Marge Ibérique * CAMPAIGN: MD101 (IMAGES I) (URI: https://doi.org/10.17600/95200110) * BASIS: Marion Dufresne (1995) (URI: http://www.institut-polaire.fr/ipev/bases_et_navires/le_marion_dufresne) * METHOD/DEVICE: Calypso Corer (CALYPSO) * COMMENT: XXVII Sections, OK; core bent
Parameter(s):	DEPTH, sediment/rock [m] (Depth) * GEOCODE * PI: Hoogakker, Babette A A (https://orcid.org/0000-0002-8171-9679, b.hoogakker@hw.ac.uk)
	AGE [ka BP] (Age) * GEOCODE * PI: Hoogakker, Babette A A (https://orcid.org/0000-0002-8171-9679, b.hoogakker@hw.ac.uk) * COMMENT: used in Hoogakker et al. (2015) Nature Geoscience
	Cibicidoides wuellerstorfi, δ18O [‰ PDB] (C. wuellerstorfi δ18O) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: Shackleton et al., 2000
	Cibicidoides wuellerstorfi, δ13C [‰ PDB] (C. wuellerstorfi δ13C) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: Shackleton et al., 2000
	Globobulimina affinis, δ18O [‰ PDB] (G. affinis δ18O) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: Shackleton et al., 2000
	Globobulimina affinis, δ13C [‰ PDB] (G. affinis δ13C) * PI: Shackleton, Nicholas J (http://en.wikipedia.org/wiki/Nicholas_Shackleton) * COMMENT: Shackleton et al., 2000
	Δδ13C [‰ PDB] (Δδ13C) * PI: Hoogakker, Babette A A (https://orcid.org/0000-0002-8171-9679, b.hoogakker@hw.ac.uk) * COMMENT: C. wuellerstorif-G. affinis
	Oxygen [µmol/kg] (O2) * PI: Hoogakker, Babette A A (https://orcid.org/0000-0002-8171-9679, b.hoogakker@hw.ac.uk) * METHOD/DEVICE: Reconstructed * COMMENT: <235 µmol/kg
License:	Creative Commons Attribution-NonCommercial-ShareAlike 3.0 Unported (CC-BY-NC-SA-3.0)
Size:	1780 data points
*/
Depth [m]	Age [ka BP]	C. wuellerstorfi δ18O [‰ PDB]	C. wuellerstorfi δ13C [‰ PDB]	G. affinis δ18O [‰ PDB]	G. affinis δ13C [‰ PDB]	Δδ13C [‰ PDB]	O2 [µmol/kg]
19.48	68.197						
19.50	68.342	3.93	-0.05				
19.53	68.559	3.72	0.26	4.76	-2.23	2.49	
19.57	68.848						
19.60	69.066						
19.64	69.355			4.71	-2.06		
19.67	69.643						
19.70	69.912	4.09	0.46				
19.73	70.252			4.68	-1.93		
19.77	70.705			4.75	-2.01		
19.80	71.045						
19.83	71.384			4.43	-2.09		
19.87	71.837			4.27	-2.27		
19.93	72.438			4.22	-2.27		
19.97	72.786			4.46	-2.27		
20.00	73.047			4.64	-2.16		
20.03	73.308	3.82	0.37	4.67	-2.28	2.65	
20.07	73.656			4.76	-2.08		
20.11	74.058	4.00	0.56				
20.14	74.354	3.60	0.73	4.63	-1.99	2.72	
20.17	74.703	3.65	0.65				
20.20	75.051	3.78	0.94				
20.23	75.400	3.48	0.73				
20.27	75.865	2.93	0.81	4.19	-2.21	3.02	
20.30	76.213			4.20	-2.15		
20.33	76.562	3.40	0.57	4.21	-2.08	2.65	
20.37	76.962	3.13	0.35	4.27	-2.19	2.54	
20.40	77.263			4.45	-1.90		
20.43	77.568			4.25	-2.01		
20.47	77.964	3.28	0.40	4.40	-1.98	2.38	
20.50	78.265	3.67	0.40	4.46	-1.80	2.20	231.1379
20.53	78.565			4.48	-2.06		
20.56	78.866	3.64	0.81	4.48	-2.09	2.90	
20.60	79.267	3.55	0.57	4.52	-1.94	2.51	
20.63	79.567	3.58	0.79				
20.67	79.968	3.55	0.83				
20.70	80.274	3.61	0.75				
20.73	80.569	3.50	0.84	4.32	-2.13	2.97	
20.77	80.970	3.34	0.53				
20.80	81.271	3.36	0.67				
20.87	81.972	3.51	0.76				
20.90	82.153	3.51	0.82				
20.90	82.153	3.33	0.77				
20.93	82.333	3.47	0.81				
20.97	82.574	3.45	0.66				
21.00	82.754	3.38	0.59				
21.03	82.935	3.31	0.78				
21.07	83.176	3.40	0.63	4.31	-2.17	2.80	
21.13	83.537	3.24	0.81	4.13	-2.22	3.03	
21.17	83.777	3.29	0.78	4.35	-2.15	2.93	
21.20	83.958	3.02	0.79				
21.23	84.138	3.26	0.78	4.07	-2.10	2.88	
21.27	84.379	3.41	0.48	4.15	-2.63	3.11	
21.30	84.560	3.02	0.53				
21.33	84.740	2.95	0.43	4.20	-2.72	3.15	
21.37	84.950	2.99	0.12	3.83	-3.04	3.16	
21.40	85.108			3.98	-3.09		
21.43	85.266			3.88	-3.07		
21.47	85.476	3.12	0.28	4.14	-2.98	3.26	
21.50	85.634	3.16	0.02				
21.53	85.792			4.13	-2.81		
21.57	86.002			4.17	-2.87		
21.60	86.160			4.32	-2.83		
21.63	86.318			4.36	-3.07		
21.67	86.528			4.45	-2.96		
21.73	86.844	3.42	0.05	4.44	-2.76	2.81	
21.80	87.212						
21.83	87.370	3.65	0.45				
21.87	87.580						
21.90	87.738	3.73	0.66				
21.93	87.896	3.47	0.60	4.54	-2.28	2.88	
21.97	88.106			4.50	-2.05		
22.00	88.264						
22.03	88.422	3.59	0.52				
22.07	88.632	3.43	0.65	4.30	-1.68	2.33	
22.10	88.790	3.46	0.88				
22.13	88.948			4.10	-1.60		
22.17	89.158	3.32	0.79	4.23	-2.00	2.79	
22.20	89.316	3.32	0.76				
22.23	89.474	3.33	0.71				
22.27	89.684	3.32	0.69	4.31	-1.92	2.61	
22.30	89.842	3.32	0.65				
22.33	90.000			4.30	-2.22		
22.37	90.560	3.41	0.79				
22.40	90.980			4.17	-1.91		
22.43	91.400	3.20	0.79	4.15	-1.97	2.76	
22.47	91.960			4.24	-2.00		
22.50	92.380	3.35	0.69				
22.53	92.800	3.24	0.83				
22.57	93.360			3.85	-2.14		
22.60	93.780	3.08	0.62				
22.63	94.200						
22.67	94.760	3.11	0.66				
22.70	95.180	3.16	0.57				
22.73	95.600	3.04	0.64				
22.77	96.160	3.24	0.75	4.07	-2.35	3.10	
22.80	96.580	3.19	0.77				
22.83	97.000	3.24	0.70				
22.87	97.560						
22.90	97.980	3.20	0.81				
22.93	98.400	3.23	0.81				
22.97	98.960	3.25	0.57				
23.00	99.380	3.19	0.71				
23.03	99.800						
23.07	100.360	3.15	0.79	4.04	-2.30	3.09	
23.10	100.780	3.06	0.67				
23.13	101.200	3.17	0.74	4.04	-2.07	2.81	
23.17	101.760	3.18	0.63	3.92	-2.34	2.97	
23.20	102.180	3.22	0.73				
23.23	102.600	3.32	0.70	4.19	-2.11	2.81	
23.27	103.160						
23.30	103.580	3.21	0.64				
23.33	104.000	3.23	0.66	4.11	-2.36	3.02	
23.37	104.295			4.16	-2.43		
23.40	104.516			4.50	-2.30		
23.40	104.516			4.25	-2.41		
23.44	104.810						
23.48	105.105						
23.50	105.252			4.12	-2.23		
23.52	105.400	3.10	0.34				
23.52	105.400						
23.56	105.695						
23.60	105.989	3.55	0.54				
23.64	106.284	3.58	0.47				
23.64	106.284						
23.68	106.579	3.56	0.40				
23.68	106.579						
23.70	106.726	3.26	0.48	4.32	-2.17	2.65	
23.72	106.873	3.47	0.30				
23.72	106.873	3.42	0.53				
23.76	107.168	3.35	0.52				
23.76	107.168	3.41	0.60				
23.80	107.463	3.34	0.80	4.33	-2.20	3.00	
23.84	107.758	3.36	0.49				
23.84	107.758						
23.88	108.052	3.38	0.32				
23.92	108.514	3.15	0.02	4.21	-2.26	2.28	
23.96	109.132	3.58	0.02				
24.04	110.366	3.74	0.33				
24.04	110.366	3.69	0.40				
24.08	110.984	3.58	0.13				
24.08	110.984	3.62	0.27				
24.12	111.602	3.68	0.46				
24.12	111.602	3.61	0.28				
24.16	112.219	3.50	0.39				
24.16	112.219	3.68	0.36				
24.20	112.836	3.55	0.39				
24.24	113.453	3.56	0.35				
24.24	113.453	3.47	0.35				
24.28	114.071	3.65	0.22				
24.32	114.688	3.48	0.66				
24.36	115.306	3.45	0.44				
24.36	115.306	3.34	0.57				
24.40	115.575						
24.44	115.850	3.36	0.47				
24.44	115.850	3.38	0.55				
24.48	116.125	3.30	0.49				
24.52	116.400	3.36	0.57				
24.52	116.400	3.01	0.36				
24.56	116.674	3.29	0.59				
24.56	116.674	3.14	0.56				
24.60	116.949	3.17	0.50				
24.64	117.224	3.39	0.47				
24.64	117.224	3.16	0.63				
24.68	117.499	3.05	0.38				
24.72	117.774	3.05	0.51				
24.76	118.048	3.05	0.62				
24.79	118.254	3.07	0.64				
24.84	118.598	2.72	0.65				
24.88	118.873	2.81	0.37				
24.92	119.147	2.64	0.78				
24.96	119.422	2.70	0.52				
25.00	119.697	2.58	0.64				
25.04	119.972	2.58	0.69				
25.08	120.247	2.63	0.78				
25.12	120.521	2.61	0.80				
25.16	120.796	2.39	0.85				
25.20	121.071	2.58	0.73				
25.24	121.346	2.50	0.87				
25.24	121.346	2.57	0.73				
25.28	121.620	2.55	0.82				
25.32	122.000	2.47	0.77				
25.36	122.251	2.48	0.67				
25.40	122.534	2.44	0.55				
25.44	123.080	2.61	0.74				
25.44	123.080	2.34	0.59				
25.48	123.625	2.34	0.50				
25.48	123.625	2.54	0.83				
25.52	124.171	2.40	0.55				
25.56	124.716	2.52	0.65				
25.60	125.262	2.28	0.45				
25.64	125.807	2.41	0.24				
25.68	126.352	2.59	0.27				
25.72	126.898	2.49	0.16				
25.76	127.443			3.36	-2.25		
25.80	127.989			3.67	-1.84		
25.84	128.313			3.75	-1.76		
25.88	128.628	2.95	-0.06				
25.92	128.942	2.83	-0.32				
25.96	129.282			3.90	-2.13		
26.00	129.645			3.81	-2.03		
26.04	130.008						
26.08	130.370						
26.12	130.732						
26.16	131.095						
26.20	131.458	3.29	-0.24	4.28	-2.49		
26.24	131.820	3.17	-0.04				
26.28	132.154	3.38	-0.03				
26.32	132.461	3.26	-0.30				
26.36	132.769	3.61	-0.37				
26.40	133.077	3.74	-0.16	4.60	-2.10		
26.44	133.384	3.80	0.03				
26.48	133.692	3.86	-0.08				
26.52	134.000	3.77	-0.31				
26.56	134.307			4.83	-2.35		
26.60	134.615	3.96	-0.33	4.89	-2.33	2.00	205.2479
26.63	134.846			5.03	-2.39		
26.67	135.154	4.20	-0.23	5.18	-1.94	1.71	167.7074
26.70	135.384			5.16	-2.14		
26.73	135.615			5.26	-2.06		
26.77	135.923	4.43	0.05	5.21	-1.98	2.03	209.1314
26.80	136.154	4.40	-0.03				
26.83	136.384	4.55	0.17	5.25	-1.77	1.94	197.4809
26.87	136.692	4.32	-0.03	5.25	-1.78	1.75	172.8854
26.90	136.923	4.24	-0.17				
26.93	137.154	4.21	-0.30	5.38	-1.97	1.67	162.5294
26.97	137.461	4.24	-0.05	5.34	-1.94	1.89	191.0084
27.00	137.692	4.34	-0.13				
27.03	137.923	4.34	-0.10	5.38	-1.75	1.65	159.9405
27.07	138.231	4.45	-0.04	5.47	-1.91	1.87	188.4194
27.10	138.461	4.27	-0.26	5.28	-1.93	1.67	162.5294
27.13	138.692	4.27	-0.14	5.41	-1.83	1.69	165.1184
27.17	139.000	4.26	-0.27	5.47	-1.92	1.65	159.9405
27.20	139.231	4.34	-0.04				
27.24	139.538	4.39	-0.14				
27.26	139.692			5.33	-1.91		
27.28	139.846			5.33	-2.02		
27.32	140.154			5.20	-2.09		
27.40	140.769			5.12	-2.14		
27.44	141.077			5.42	-1.87		
27.48	141.384			5.24	-1.94		
27.52	141.692			5.39	-1.68		
27.56	142.000			5.34	-1.71		
27.60	142.307	4.18	-0.18	5.21	-1.90	1.72	169.0019
27.64	142.615			5.30	-1.76		
27.68	142.923			5.37	-1.79		
27.80	143.846	4.33	-0.18				
28.00	145.384	4.20	0.15				
28.20	146.923						
28.40	148.461						
28.60	150.000						
28.80	151.538	3.92	-0.33				
29.00	153.077	4.01	-0.39				
29.20	154.615			5.16	-2.63		
29.40	156.154	3.98	-0.42	4.96	-2.27	1.85	185.8304
29.60	157.692			4.87	-2.60		
29.80	159.231	4.03	-0.55				
