leg,site,hole,age mnemonic,auxiliary age mnemonic,top of section depth(m),bottom of section depth(m),special condition,age,auxiliary age,averaged age,age top of section(million years),age bottom of section(million years),average age(million years)t,data source
13,127,,LOWER PLEISTOCENE,,327.0,427.0,,NO AGE GIVEN,,NO AGE GIVEN,1.2,1.8,1.5,DSDP INITIAL REPORTS
13,127,,APTIAN,BARREMIAN,427.0,435.5,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,108.0,121.0,114.5,DSDP INITIAL REPORTS
13,127,,UPPER PLIOCENE,,435.5,436.0,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
13,128,,UPPER PLEISTOCENE,,22.0,31.0,,NO AGE GIVEN,,NO AGE GIVEN,0.01,0.7,0.355,DSDP INITIAL REPORTS
13,128,,PLEISTOCENE,,51.0,201.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
13,128,,LOWER PLEISTOCENE,,246.0,475.0,,NO AGE GIVEN,,NO AGE GIVEN,1.2,1.8,1.5,DSDP INITIAL REPORTS
13,129,,MIDDLE MIOCENE,,39.0,99.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
13,129,,LOWER MIOCENE,,111.0,112.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
13,129,,MIDDLE MIOCENE,,39.0,99.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
13,129,,LOWER MIOCENE,,111.0,112.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
13,129,,MIDDLE MIOCENE,,39.0,99.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
13,129,,LOWER MIOCENE,,111.0,112.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
13,130,,QUATERNARY,,13.0,563.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,1.8,0.9,DSDP INITIAL REPORTS
13,130,,QUATERNARY,,13.0,563.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,1.8,0.9,DSDP INITIAL REPORTS
13,131,,QUATERNARY,,30.0,39.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,1.8,0.9,DSDP INITIAL REPORTS
13,131,,QUATERNARY,,30.0,39.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,1.8,0.9,DSDP INITIAL REPORTS
13,132,,UPPER PLEISTOCENE,,0.0,9.0,,NO AGE GIVEN,,NO AGE GIVEN,0.01,0.7,0.355,DSDP INITIAL REPORTS
13,132,,PLEISTOCENE,,9.0,45.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
13,132,,LOWER PLEISTOCENE,,45.0,70.3,,NO AGE GIVEN,,NO AGE GIVEN,1.2,1.8,1.5,DSDP INITIAL REPORTS
13,132,,UPPER PLIOCENE,,70.3,121.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
13,132,,LOWER PLIOCENE,,121.0,182.2,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
13,132,,UPPER MIOCENE,,182.2,223.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
13,133,,QUATERNARY,,49.0,54.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,1.8,0.9,DSDP INITIAL REPORTS
13,133,,MIDDLE MIOCENE,,63.0,192.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
13,134,,PLEISTOCENE,,177.0,183.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
13,134,,UPPER PLIOCENE,,248.0,269.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
13,134,,LOWER PLIOCENE,,288.0,324.3,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
13,134,,UPPER MIOCENE,,324.3,364.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
13,134,,PLEISTOCENE,,177.0,183.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
13,134,,UPPER PLIOCENE,,248.0,269.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
13,134,,LOWER PLIOCENE,,288.0,324.3,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
13,134,,UPPER MIOCENE,,324.3,364.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
13,134,,PLEISTOCENE,,177.0,183.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
13,134,,UPPER PLIOCENE,,248.0,269.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
13,134,,LOWER PLIOCENE,,288.0,324.3,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
13,134,,UPPER MIOCENE,,324.3,364.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
13,134,,PLEISTOCENE,,177.0,183.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
13,134,,UPPER PLIOCENE,,248.0,269.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
13,134,,LOWER PLIOCENE,,288.0,324.3,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
13,134,,UPPER MIOCENE,,324.3,364.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
13,134,,PLEISTOCENE,,177.0,183.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
13,134,,UPPER PLIOCENE,,248.0,269.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
13,134,,LOWER PLIOCENE,,288.0,324.3,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
13,134,,UPPER MIOCENE,,324.3,364.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
13,134,,PLEISTOCENE,,177.0,183.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
13,134,,UPPER PLIOCENE,,248.0,269.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
13,134,,LOWER PLIOCENE,,288.0,324.3,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
13,134,,UPPER MIOCENE,,324.3,364.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
14,135,,UPPER PLEISTOCENE,,0.0,4.0,,NO AGE GIVEN,,NO AGE GIVEN,0.01,0.7,0.355,DSDP INITIAL REPORTS
14,135,,LOWER PLIOCENE,,80.0,86.8,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
14,135,,UPPER MIOCENE,,86.8,182.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
14,135,,MIDDLE MIOCENE,,259.0,268.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
14,135,,LOWER EOCENE,,335.0,341.0,,NO AGE GIVEN,,NO AGE GIVEN,49.0,53.5,51.25,DSDP INITIAL REPORTS
14,135,,PALEOCENE,CRETACEOUS,341.0,350.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,53.5,135.0,94.25,DSDP INITIAL REPORTS
14,135,,MAESTRICHTIAN,CAMPANIAN,431.0,435.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,65.0,78.0,71.5,DSDP INITIAL REPORTS
14,135,,CRETACEOUS,,564.0,569.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,135.0,100.0,DSDP INITIAL REPORTS
14,135,,APTIAN,,685.0,687.0,,NO AGE GIVEN,,NO AGE GIVEN,108.0,110.0,109.0,DSDP INITIAL REPORTS
14,136,,LOWER PLIOCENE,,130.0,139.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
14,136,,UPPER MIOCENE,MIDDLE MIOCENE,216.0,225.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,5.0,16.0,10.5,DSDP INITIAL REPORTS
14,136,,LOWER MIOCENE,,235.0,244.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
14,136,,LOWER MIOCENE,UPPER OLIGOCENE,244.0,253.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,16.0,30.0,23.0,DSDP INITIAL REPORTS
14,136,,SANTONIAN,CONIACIAN,253.0,271.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,78.0,86.0,82.0,DSDP INITIAL REPORTS
14,136,,SANTONIAN,TURONIAN,271.0,280.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,78.0,92.0,85.0,DSDP INITIAL REPORTS
14,136,,CENOMANIAN,APTIAN,280.0,289.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,92.0,110.0,101.0,DSDP INITIAL REPORTS
14,137,,TERTIARY,,52.0,61.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,65.0,33.4,DSDP INITIAL REPORTS
14,137,,MAESTRICHTIAN,,165.0,173.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,70.0,67.5,DSDP INITIAL REPORTS
14,137,,CAMPANIAN,,209.0,218.0,,NO AGE GIVEN,,NO AGE GIVEN,70.0,78.0,74.0,DSDP INITIAL REPORTS
14,137,,CAMPANIAN,TURONIAN,218.0,225.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,70.0,92.0,81.0,DSDP INITIAL REPORTS
14,137,,TURONIAN,CENOMANIAN,256.0,265.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,86.0,100.0,93.0,DSDP INITIAL REPORTS
14,137,,CENOMANIAN,,265.0,357.0,,NO AGE GIVEN,,NO AGE GIVEN,92.0,100.0,96.0,DSDP INITIAL REPORTS
14,137,,ALBIAN,,375.0,394.0,,NO AGE GIVEN,,NO AGE GIVEN,100.0,108.0,104.0,DSDP INITIAL REPORTS
14,138,,UPPER MIOCENE,,52.0,61.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
14,138,,UPPER OLIGOCENE,,110.0,119.0,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
14,138,,PALEOCENE,MAESTRICHTIAN,255.0,264.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,53.5,70.0,61.75,DSDP INITIAL REPORTS
14,138,,CAMPANIAN,,332.0,341.0,,NO AGE GIVEN,,NO AGE GIVEN,70.0,78.0,74.0,DSDP INITIAL REPORTS
14,138,,CENOMANIAN,,425.0,431.0,,NO AGE GIVEN,,NO AGE GIVEN,92.0,100.0,96.0,DSDP INITIAL REPORTS
14,139,,MIDDLE PLIOCENE,,114.0,123.0,,NO AGE GIVEN,,NO AGE GIVEN,3.0,4.0,3.5,DSDP INITIAL REPORTS
14,139,,LOWER PLIOCENE,,225.0,234.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
14,139,,MIDDLE MIOCENE,,345.0,665.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
14,140,,UPPER PLIOCENE,,89.0,98.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
14,140,,LOWER MIOCENE,,201.0,210.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
14,140,,MIDDLE EOCENE,,311.0,374.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
14,140,,PALEOCENE,UPPER CRETACEOUS,585.0,587.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,53.5,100.0,76.75,DSDP INITIAL REPORTS
14,140,,MAESTRICHTIAN,,645.0,651.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,70.0,67.5,DSDP INITIAL REPORTS
14,140,,UPPER PLIOCENE,,89.0,98.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
14,140,,LOWER MIOCENE,,201.0,210.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
14,140,,MIDDLE EOCENE,,311.0,374.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
14,140,,PALEOCENE,UPPER CRETACEOUS,585.0,587.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,53.5,100.0,76.75,DSDP INITIAL REPORTS
14,140,,MAESTRICHTIAN,,645.0,651.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,70.0,67.5,DSDP INITIAL REPORTS
14,141,,LOWER PLEISTOCENE,,5.0,14.0,,NO AGE GIVEN,,NO AGE GIVEN,1.2,1.8,1.5,DSDP INITIAL REPORTS
14,141,,UPPER PLIOCENE,,14.0,32.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
14,141,,LOWER PLIOCENE,,32.0,68.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
14,141,,PLIOCENE,MIOCENE,79.0,88.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,1.8,22.5,12.15,DSDP INITIAL REPORTS
14,142,,PLEISTOCENE,,98.0,301.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
14,142,,PLIOCENE,,367.0,376.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,5.0,3.4,DSDP INITIAL REPORTS
14,142,,LOWER PLIOCENE,,423.0,429.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
14,142,,UPPER MIOCENE,,451.0,487.0,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
14,142,,UPPER MIOCENE,MIDDLE MIOCENE,529.0,581.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,5.0,16.0,10.5,DSDP INITIAL REPORTS
14,142,,LOWER MIOCENE,,600.0,609.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
14,144,,MIDDLE EOCENE,,57.0,65.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
14,144,,UPPER PALEOCENE,,104.0,112.0,,NO AGE GIVEN,,NO AGE GIVEN,53.5,60.0,56.75,DSDP INITIAL REPORTS
14,144,,MAESTRICHTIAN,CAMPANIAN,162.0,166.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,65.0,78.0,71.5,DSDP INITIAL REPORTS
14,144,,TURONIAN,CENOMANIAN,213.0,219.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,86.0,100.0,93.0,DSDP INITIAL REPORTS
14,144,,CENOMANIAN,APTIAN,264.0,298.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,92.0,110.0,101.0,DSDP INITIAL REPORTS
14,144,,ALBIAN,APTIAN,298.0,327.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,100.0,110.0,105.0,DSDP INITIAL REPORTS
14,144,,MIDDLE EOCENE,,57.0,65.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
14,144,,UPPER PALEOCENE,,104.0,112.0,,NO AGE GIVEN,,NO AGE GIVEN,53.5,60.0,56.75,DSDP INITIAL REPORTS
14,144,,MAESTRICHTIAN,CAMPANIAN,162.0,166.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,65.0,78.0,71.5,DSDP INITIAL REPORTS
14,144,,TURONIAN,CENOMANIAN,213.0,219.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,86.0,100.0,93.0,DSDP INITIAL REPORTS
14,144,,CENOMANIAN,APTIAN,264.0,298.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,92.0,110.0,101.0,DSDP INITIAL REPORTS
14,144,,ALBIAN,APTIAN,298.0,327.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,100.0,110.0,105.0,DSDP INITIAL REPORTS
14,144,,MIDDLE EOCENE,,57.0,65.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
14,144,,UPPER PALEOCENE,,104.0,112.0,,NO AGE GIVEN,,NO AGE GIVEN,53.5,60.0,56.75,DSDP INITIAL REPORTS
14,144,,MAESTRICHTIAN,CAMPANIAN,162.0,166.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,65.0,78.0,71.5,DSDP INITIAL REPORTS
14,144,,TURONIAN,CENOMANIAN,213.0,219.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,86.0,100.0,93.0,DSDP INITIAL REPORTS
14,144,,CENOMANIAN,APTIAN,264.0,298.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,92.0,110.0,101.0,DSDP INITIAL REPORTS
14,144,,ALBIAN,APTIAN,298.0,327.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,100.0,110.0,105.0,DSDP INITIAL REPORTS
15,146,,UPPER MIOCENE,,104.5,105.0,MISSING HOLE OR DRILLED INTERVAL,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
15,146,,LOWER MIOCENE,,254.0,263.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
15,146,,LOWER EOCENE,,422.0,423.0,,NO AGE GIVEN,,NO AGE GIVEN,49.0,53.5,51.25,DSDP INITIAL REPORTS
15,146,,UPPER PALEOCENE,,423.0,441.0,,NO AGE GIVEN,,NO AGE GIVEN,53.5,60.0,56.75,DSDP INITIAL REPORTS
15,146,,MIDDLE PALEOCENE,,449.0,452.0,,NO AGE GIVEN,,NO AGE GIVEN,58.0,60.0,59.0,DSDP INITIAL REPORTS
15,146,,PALEOCENE,,452.0,476.0,,NO AGE GIVEN,,NO AGE GIVEN,53.5,65.0,59.25,DSDP INITIAL REPORTS
15,146,,LOWER PALEOCENE,,476.0,477.2,,NO AGE GIVEN,,NO AGE GIVEN,60.0,65.0,62.5,DSDP INITIAL REPORTS
15,146,,UPPER CRETACEOUS,,477.2,486.5,,NO AGE GIVEN,,NO AGE GIVEN,65.0,100.0,82.5,DSDP INITIAL REPORTS
15,146,,MAESTRICHTIAN,,494.0,566.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,70.0,67.5,DSDP INITIAL REPORTS
15,146,,CAMPANIAN,,575.0,614.0,,NO AGE GIVEN,,NO AGE GIVEN,70.0,78.0,74.0,DSDP INITIAL REPORTS
15,146,,UPPER CRETACEOUS,,620.0,640.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,100.0,82.5,DSDP INITIAL REPORTS
15,146,,SANTONIAN,,647.0,676.0,,NO AGE GIVEN,,NO AGE GIVEN,78.0,82.0,80.0,DSDP INITIAL REPORTS
15,146,,SANTONIAN,CONIACIAN,683.0,716.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,78.0,86.0,82.0,DSDP INITIAL REPORTS
15,146,,CONIACIAN,TURONIAN,719.0,740.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,82.0,92.0,87.0,DSDP INITIAL REPORTS
15,146,,UPPER MIOCENE,,104.5,105.0,MISSING HOLE OR DRILLED INTERVAL,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
15,146,,LOWER MIOCENE,,254.0,263.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
15,146,,LOWER EOCENE,,422.0,423.0,,NO AGE GIVEN,,NO AGE GIVEN,49.0,53.5,51.25,DSDP INITIAL REPORTS
15,146,,UPPER PALEOCENE,,423.0,441.0,,NO AGE GIVEN,,NO AGE GIVEN,53.5,60.0,56.75,DSDP INITIAL REPORTS
15,146,,MIDDLE PALEOCENE,,449.0,452.0,,NO AGE GIVEN,,NO AGE GIVEN,58.0,60.0,59.0,DSDP INITIAL REPORTS
15,146,,PALEOCENE,,452.0,476.0,,NO AGE GIVEN,,NO AGE GIVEN,53.5,65.0,59.25,DSDP INITIAL REPORTS
15,146,,LOWER PALEOCENE,,476.0,477.2,,NO AGE GIVEN,,NO AGE GIVEN,60.0,65.0,62.5,DSDP INITIAL REPORTS
15,146,,UPPER CRETACEOUS,,477.2,486.5,,NO AGE GIVEN,,NO AGE GIVEN,65.0,100.0,82.5,DSDP INITIAL REPORTS
15,146,,MAESTRICHTIAN,,494.0,566.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,70.0,67.5,DSDP INITIAL REPORTS
15,146,,CAMPANIAN,,575.0,614.0,,NO AGE GIVEN,,NO AGE GIVEN,70.0,78.0,74.0,DSDP INITIAL REPORTS
15,146,,UPPER CRETACEOUS,,620.0,640.0,,NO AGE GIVEN,,NO AGE GIVEN,65.0,100.0,82.5,DSDP INITIAL REPORTS
15,146,,SANTONIAN,,647.0,676.0,,NO AGE GIVEN,,NO AGE GIVEN,78.0,82.0,80.0,DSDP INITIAL REPORTS
15,146,,SANTONIAN,CONIACIAN,683.0,716.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,78.0,86.0,82.0,DSDP INITIAL REPORTS
15,146,,CONIACIAN,TURONIAN,719.0,740.0,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,82.0,92.0,87.0,DSDP INITIAL REPORTS
15,147,,HOLOCENE,,4.0,6.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,0.011,0.0055,DSDP INITIAL REPORTS
15,147,,PLEISTOCENE,,6.0,162.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
15,147,,HOLOCENE,,4.0,6.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,0.011,0.0055,DSDP INITIAL REPORTS
15,147,,PLEISTOCENE,,6.0,162.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
15,147,,HOLOCENE,,4.0,6.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,0.011,0.0055,DSDP INITIAL REPORTS
15,147,,PLEISTOCENE,,6.0,162.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
15,147,,HOLOCENE,,4.0,6.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,0.011,0.0055,DSDP INITIAL REPORTS
15,147,,PLEISTOCENE,,6.0,162.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
15,148,,PLEISTOCENE,,0.0,118.0,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
15,148,,PLEISTOCENE,UPPER PLIOCENE,118.0,120.2,,NO AGE GIVEN,NO AGE GIVEN,NO AGE GIVEN,0.011,3.4,1.706,DSDP INITIAL REPORTS
15,148,,UPPER PLIOCENE,,120.2,137.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
15,148,,MIDDLE PLIOCENE,,137.0,188.5,,NO AGE GIVEN,,NO AGE GIVEN,3.0,4.0,3.5,DSDP INITIAL REPORTS
15,148,,LOWER PLIOCENE,,193.0,249.0,,NO AGE GIVEN,,NO AGE GIVEN,3.4,5.0,4.2,DSDP INITIAL REPORTS
15,148,,TERTIARY,,249.0,272.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,65.0,33.4,DSDP INITIAL REPORTS
15,149,,RECENT,,0.0,1.0,,NO AGE GIVEN,,NO AGE GIVEN,0.0,0.011,0.0055,DSDP INITIAL REPORTS
15,149,,PLEISTOCENE,,1.0,41.5,,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
15,149,,UPPER PLIOCENE,,41.5,46.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,3.4,2.6,DSDP INITIAL REPORTS
15,149,,PLEISTOCENE,,46.0,53.5,A LEGITIMATE AGE INVERSION,NO AGE GIVEN,,NO AGE GIVEN,0.011,1.8,0.9055,DSDP INITIAL REPORTS
15,149,,MIDDLE PLIOCENE,,53.5,55.5,,NO AGE GIVEN,,NO AGE GIVEN,3.0,4.0,3.5,DSDP INITIAL REPORTS
15,149,,TERTIARY,,56.0,93.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,65.0,33.4,DSDP INITIAL REPORTS
15,149,,UPPER MIOCENE,,93.0,114.2,,NO AGE GIVEN,,NO AGE GIVEN,5.0,10.5,7.75,DSDP INITIAL REPORTS
15,149,,MIDDLE MIOCENE,,114.2,145.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
15,149,,LOWER MIOCENE,,145.0,217.5,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
15,149,,UPPER OLIGOCENE,,223.0,251.0,,NO AGE GIVEN,,NO AGE GIVEN,22.5,30.0,26.25,DSDP INITIAL REPORTS
15,149,,MIDDLE OLIGOCENE,,251.0,270.0,,NO AGE GIVEN,,NO AGE GIVEN,29.0,32.0,30.5,DSDP INITIAL REPORTS
15,149,,UPPER EOCENE,,270.0,283.5,,NO AGE GIVEN,,NO AGE GIVEN,37.5,43.0,40.25,DSDP INITIAL REPORTS
15,149,,MIDDLE EOCENE,,283.5,390.0,,NO AGE GIVEN,,NO AGE GIVEN,43.0,49.0,46.0,DSDP INITIAL REPORTS
15,150,,PLIOCENE,,49.0,58.0,,NO AGE GIVEN,,NO AGE GIVEN,1.8,5.0,3.4,DSDP INITIAL REPORTS
15,150,,MIDDLE MIOCENE,,93.5,94.0,,NO AGE GIVEN,,NO AGE GIVEN,10.5,16.0,13.25,DSDP INITIAL REPORTS
15,150,,LOWER MIOCENE,,95.0,114.0,,NO AGE GIVEN,,NO AGE GIVEN,16.0,22.5,19.25,DSDP INITIAL REPORTS
