Site/Hole   ,Latitude   ,Longitude   ,Water Depth (mbsl),No. of Cores,Interval Cored (m),Core Recovered (m),% Recovered,Drilled (m),Penetration (m),Comment,"<a href=""mailto:database@iodp.tamu.edu"">Data Librarian</a>."
 775A       ,19&deg;51.072'N,121&deg;42.942'E,             495.5,1.0,6.0,0.31,        5.2,0.0,6.0,,
 775B       ,19&deg;51.072'N,121&deg;42.942'E,             495.5,0.0,0.0,0.0,           ,20.5,20.5,,
 775C       ,19&deg;51.072'N,121&deg;42.942'E,             495.5,0.0,0.0,0.0,           ,11.2,11.2,,
 776A       ,17&deg;54.400'N,143&deg;40.950'E,            4702.5,0.0,0.0,0.0,           ,532.5,532.5,,
 777A       ,17&deg;41.868'N,148&deg;41.286'E,            5800.0,6.0,48.5,14.69,30.3,0.0,49.5,,
 777B       ,17&deg;41.868'N,148&deg;41.286'E,            5800.0,5.0,37.2,38.41,103.3,0.0,39.1,,
 777C       ,17&deg;41.868'N,148&deg;41.286'E,            5800.0,1.0,4.0,0.84,21.0,0.0,47.4,,
 777D       ,17&deg;41.868'N,148&deg;41.286'E,            5800.0,3.0,9.2,1.14,12.4,0.0,59.8,,
 777E       ,17&deg;41.868'N,148&deg;41.286'E,            5806.5,2.0,20.0,0.62,3.1,0.0,61.5,,
 777F       ,17&deg;41.868'N,148&deg;41.286'E,            5806.5,1.0,2.5,2.46,98.4,0.0,2.5,,
 778A       ,19&deg;29.940'N,146&deg;39.960'E,            3913.7,13.0,107.6,22.8,21.2,0.0,107.6,,
 779A       ,19&deg;30.750'N,146&deg;41.760'E,            3947.2,37.0,317.2,73.24,23.1,0.0,317.2,,
 779B       ,19&deg;30.750'N,146&deg;41.760'E,            3947.2,1.0,9.0,8.7,96.7,0.0,9.0,,
 780A       ,19&deg;32.508'N,146&deg;39.300'E,            3086.8,1.0,3.5,3.54,101.1,0.0,3.5,,
 780B       ,19&deg;32.472'N,146&deg;39.222'E,            3094.0,2.0,18.2,10.34,56.8,0.0,18.2,,
 780C       ,19&deg;32.532'N,146&deg;39.210'E,            3083.4,18.0,163.5,14.44,8.8,0.0,163.5,,
 780D       ,19&deg;32.550'N,146&deg;39.198'E,            3088.9,7.0,32.4,9.09,28.1,0.0,32.4,,
 781A       ,19&deg;37.908'N,146&deg;32.562'E,            4431.7,27.0,247.0,39.62,16.0,0.0,250.0,,
 782A       ,30&deg;51.660'N,141&deg;18.852'E,            2958.9,50.0,476.8,282.0,59.1,0.0,476.8,,
 782B       ,30&deg;51.600'N,141&deg;18.840'E,            2965.9,1.0,9.6,0.1,1.0,0.0,468.9,,
 783A       ,30&deg;57.858'N,141&deg;47.280'E,            4648.8,18.0,168.2,46.95,27.9,0.0,168.2,,
 784A       ,30&deg;54.480'N,141&deg;44.280'E,            4900.8,45.0,425.3,218.28,51.3,0.0,425.3,,
 785A       ,30&deg;49.470'N,140&deg;55.200'E,            2660.8,11.0,104.7,18.42,17.6,0.0,104.7,,
 786A       ,31&deg;52.500'N,141&deg;13.560'E,            3058.1,19.0,166.5,84.95,51.0,0.0,166.5,,
 786B       ,31&deg;52.452'N,141&deg;13.590'E,            3071.0,72.0,666.1,190.07,28.5,0.0,828.6,,
 787A       ,32&deg;22.542'N,140&deg;44.964'E,            3254.5,0.0,0.0,0.0,           ,0.0,34.5,,
 787B       ,32&deg;22.542'N,140&deg;44.964'E,            3258.9,34.0,320.1,159.88,       49.9,0.0,320.1,,
 788A       ,30&deg;55.320'N,140&deg; 0.228'E,            1100.5,5.0,45.3,1.24,2.7,0.0,45.3,,
 788B       ,30&deg;55.350'N,140&deg; 0.186'E,            1102.5,4.0,35.6,0.0,0.0,0.0,35.6,,
 788C       ,30&deg;55.320'N,140&deg; 0.228'E,            1102.5,28.0,258.5,146.15,56.5,0.0,262.5,,
 788D       ,30&deg;55.320'N,140&deg; 0.228'E,            1102.5,16.0,154.4,12.28,8.0,0.0,374.0,,
 789A       ,30&deg;55.206'N,139&deg;59.850'E,            1118.0,6.0,54.1,0.1,0.2,0.0,54.1,,
 790A       ,30&deg;54.924'N,139&deg;50.634'E,            2222.2,4.0,37.4,35.71,95.5,0.0,37.4,,
 790B       ,30&deg;54.966'N,139&deg;50.658'E,            2223.5,15.0,138.9,88.69,63.9,0.0,138.9,,
 790C       ,30&deg;54.654'N,139&deg;50.220'E,            2223.5,33.0,302.1,127.32,42.1,0.0,387.1,,
 791A       ,30&deg;54.990'N,139&deg;52.206'E,            2268.5,49.0,457.0,179.86,39.4,0.0,457.0,,
 791B       ,30&deg;54.990'N,139&deg;52.206'E,            2268.5,77.0,738.2,114.28,15.5,0.0,1145.0,,
 792A       ,32&deg;23.988'N,140&deg;22.842'E,            1787.3,10.0,95.0,72.09,75.9,0.0,95.0,,
 792B       ,32&deg;23.988'N,140&deg;22.842'E,            1787.7,11.0,100.7,43.59,43.3,0.0,146.4,,
 792C       ,32&deg;23.946'N,140&deg;22.806'E,            1787.7,1.0,9.6,0.59,6.1,0.0,146.4,,
 792D       ,32&deg;23.898'N,140&deg;22.782'E,            1787.7,1.0,9.6,0.84,8.8,0.0,145.6,,
 792E       ,32&deg;23.964'N,140&deg;22.758'E,            1787.7,78.0,750.3,362.07,48.3,0.0,885.9,,
 793A       ,31&deg; 6.342'N,140&deg;53.292'E,            2964.8,11.0,99.7,78.96,79.2,0.0,99.7,,
 793B       ,31&deg; 6.354'N,140&deg;53.286'E,            2964.8,114.0,1095.5,697.94,63.7,0.0,1682.0,,
 794A       ,40&deg;11.400'N,138&deg;13.860'E,            2811.0,37.0,351.3,302.17,86.0,0.0,351.3,,
 794B       ,40&deg;11.400'N,138&deg;13.860'E,            2811.0,27.0,249.2,87.4,35.1,0.0,549.0,,
 794C       ,40&deg;11.400'N,138&deg;13.860'E,            2809.3,14.0,93.9,33.21,35.4,0.0,653.7,,
 795A       ,43&deg;59.220'N,138&deg;58.020'E,            3300.2,39.0,364.9,258.26,70.8,0.0,365.9,,
 795B       ,43&deg;59.220'N,138&deg;57.900'E,            3299.0,41.0,397.0,188.94,47.6,0.0,762.2,,
 796A       ,42&deg;50.940'N,139&deg;24.660'E,            2570.6,27.0,242.9,158.25,65.2,0.0,242.9,,
 796B       ,42&deg;50.940'N,139&deg;24.840'E,            2622.6,32.0,293.8,85.31,29.0,0.0,464.9,,
 797A       ,38&deg;36.960'N,134&deg;32.160'E,            2862.2,1.0,9.5,9.73,102.4,0.0,12.9,,
 797B       ,38&deg;36.960'N,134&deg;32.160'E,            2862.2,53.0,495.7,370.69,74.8,0.0,495.7,,
 797C       ,38&deg;36.960'N,134&deg;32.160'E,            2864.6,45.0,416.1,164.18,39.5,0.0,900.1,,
 794D       ,40&deg;11.364'N,138&deg;13.944'E,            2806.9,20.0,160.5,34.85,       21.7,0.0,733.5,,
 794E       ,40&deg;10.526'N,138&deg;13.953'E,            2800.9,0.0,0.0,0.0,           ,400.0,400.0,,
 798A       ,37&deg; 2.298'N,134&deg;47.988'E,             903.1,17.0,143.3,148.27,103.5,0.0,143.3,,
 798B       ,37&deg; 2.310'N,134&deg;47.976'E,             900.0,54.0,517.9,514.42,99.3,0.0,517.9,,
 798C       ,37&deg; 2.310'N,134&deg;47.982'E,             900.1,13.0,120.1,132.08,110.0,0.0,120.1,,
 799A       ,39&deg;13.230'N,133&deg;52.014'E,            2073.0,52.0,468.7,440.04,93.9,0.0,468.7,,
 799B       ,39&deg;13.230'N,133&deg;51.990'E,            2083.5,67.0,633.0,280.48,44.3,0.0,1084.0,,
 799C       ,39&deg;13.200'N,133&deg;52.002'E,            2071.7,3.0,22.5,23.93,106.4,0.0,252.5,,
 800A       ,21&deg;55.380'N,152&deg;19.374'E,            5686.0,61.0,544.4,150.73,27.7,0.0,544.4,,
 801A       ,18&deg;38.568'N,156&deg;21.570'E,            5673.8,20.0,186.0,31.49,16.9,0.0,194.0,,
 801B       ,18&deg;38.520'N,156&deg;21.582'E,            5673.8,44.0,317.2,59.17,18.7,0.0,511.2,,
 801C       ,18&deg;38.538'N,156&deg;21.588'E,            5674.0,12.0,100.6,60.6,60.2,0.0,594.3,,
 802A       ,12&deg; 5.778'N,153&deg;12.618'E,            5968.6,62.0,559.8,165.01,29.5,0.0,559.8,,
 803A       , 2&deg;25.980'N,160&deg;32.400'E,            3409.7,6.0,55.5,57.99,104.5,0.0,55.5,,
 803B       , 2&deg;25.980'N,160&deg;32.400'E,            3410.4,7.0,61.3,58.18,94.9,0.0,61.3,,
 803C       , 2&deg;25.980'N,160&deg;32.400'E,            3410.4,23.0,218.5,226.31,103.6,0.0,237.5,,
 803D       , 2&deg;25.980'N,160&deg;32.460'E,            3412.2,71.0,656.0,494.96,75.5,0.0,656.0,,
 804A       , 0&deg;56.220'N,161&deg;39.000'E,            3861.7,6.0,48.7,50.52,103.7,0.0,48.7,,
 804B       , 0&deg;56.220'N,161&deg;39.000'E,            3860.7,15.0,137.7,141.61,102.8,0.0,137.7,,
 804C       , 0&deg;56.220'N,161&deg;39.000'E,            3861.1,33.0,312.5,273.78,87.6,0.0,312.5,,
 805A       , 1&deg;13.680'N,160&deg;31.680'E,            3188.5,6.0,50.5,52.22,103.4,0.0,50.5,,
 805B       , 1&deg;13.680'N,160&deg;31.680'E,            3186.8,50.0,473.3,444.89,94.0,0.0,473.3,,
 805C       , 1&deg;13.692'N,160&deg;31.770'E,            3187.7,64.0,611.0,495.46,81.1,0.0,611.0,,
 806A       , 0&deg;19.140'N,159&deg;21.660'E,            2520.7,9.0,83.7,85.95,102.7,0.0,83.7,,
 806B       , 0&deg;19.110'N,159&deg;21.660'E,            2519.9,78.0,743.1,666.36,89.7,0.0,743.1,,
 806C       , 0&deg;19.110'N,159&deg;21.660'E,            2520.8,62.0,587.6,523.62,89.1,0.0,776.4,,
 807A       , 3&deg;36.420'N,156&deg;37.500'E,            2803.8,86.0,822.9,716.74,87.1,0.0,822.9,,
 807B       , 3&deg;36.420'N,156&deg;37.500'E,            2806.1,30.0,278.6,280.18,100.6,0.0,278.6,,
 807C       , 3&deg;36.360'N,156&deg;37.500'E,            2805.7,93.0,748.4,252.84,33.8,0.0,1528.4,,
 808A       ,32&deg;21.120'N,134&deg;56.664'E,            4676.0,13.0,111.4,88.68,       79.6,0.0,111.4,,
 808B       ,32&deg;21.084'N,134&deg;56.616'E,            4674.2,28.0,247.8,59.71,       24.1,0.0,358.8,,
 808C       ,32&deg;21.168'N,134&deg;56.658'E,            4674.6,108.0,1028.5,572.43,       55.7,298.5,1327.0,,
 808D       ,32&deg;21.139'N,134&deg;56.573'E,            4672.7,0.0,0.0,0.0,           ,780.0,780.0,,
 808E       ,32&deg;21.105'N,134&deg;56.606'E,            4672.9,0.0,0.0,0.0,           ,1200.0,1200.0,,
 808F       ,32&deg;21.144'N,134&deg;56.760'E,            4684.3,3.0,11.0,0.0,        0.0,0.0,140.0,,
 808G       ,32&deg;21.144'N,134&deg;56.760'E,            4684.3,11.0,64.6,11.3,       17.5,0.0,213.0,,
 809A       ,31&deg; 3.480'N,139&deg;52.740'E,            1819.7,1.0,8.3,0.01,0.1,0.0,8.3,,
 809B       ,31&deg; 3.475'N,139&deg;52.656'E,            1799.6,1.0,13.4,0.0,0.0,0.0,13.4,,
 809C       ,31&deg; 3.500'N,139&deg;52.625'E,            1801.5,1.0,4.1,0.0,0.0,0.0,4.1,,
 809D       ,31&deg; 3.487'N,139&deg;52.668'E,            1802.0,1.0,6.3,0.0,0.0,0.0,6.3,,
 809E       ,31&deg; 3.506'N,139&deg;52.637'E,            1803.0,1.0,8.0,0.0,0.0,0.0,8.0,,
 809F       ,31&deg; 3.480'N,139&deg;52.620'E,            1802.5,34.0,59.6,11.13,18.7,0.0,79.2,,
 810A       ,32&deg;25.380'N,157&deg;50.760'E,            2621.9,1.0,9.5,9.74,      102.5,0.0,9.5,,
 810B       ,32&deg;25.369'N,157&deg;50.750'E,            2621.9,0.0,0.0,0.0,           ,60.0,60.0,,
 810C       ,32&deg;25.380'N,157&deg;50.760'E,            2623.0,16.0,136.1,143.81,      105.7,0.0,136.1,,
 811A       ,16&deg;30.977'S,148&deg; 9.436'E,             937.1,23.0,214.5,213.4,99.5,0.0,214.5,,
 811B       ,16&deg;30.948'S,148&deg; 9.455'E,             937.0,24.0,199.3,15.55,7.8,0.0,392.5,,
 811C       ,16&deg;30.942'S,148&deg; 9.451'E,             936.8,6.0,55.2,55.28,100.1,0.0,55.2,,
 812A       ,17&deg;48.841'S,149&deg;36.313'E,             461.6,22.0,189.9,40.73,21.4,0.0,189.9,,
 812B       ,17&deg;48.842'S,149&deg;36.306'E,             461.6,16.0,149.2,8.5,5.7,0.0,300.0,,
 812C       ,17&deg;48.842'S,149&deg;36.331'E,             461.9,16.0,137.8,114.15,82.8,0.0,137.8,,
 813A       ,17&deg;49.959'S,149&deg;29.669'E,             539.1,26.0,231.5,199.43,86.1,0.0,231.5,,
 813B       ,17&deg;49.951'S,149&deg;29.673'E,             538.9,21.0,190.0,196.16,103.2,0.0,190.0,,
 814A       ,17&deg;49.985'S,149&deg;30.831'E,             520.4,33.0,300.0,162.42,54.1,0.0,300.0,,
 815A       ,19&deg; 9.034'S,149&deg;59.508'E,             465.5,51.0,473.5,415.37,87.7,0.0,473.5,,
 815B       ,19&deg; 9.034'S,149&deg;59.526'E,             465.9,4.0,36.4,37.79,103.8,0.0,36.4,,
 816A       ,19&deg;11.924'S,150&deg; 0.606'E,             437.8,15.0,111.5,97.53,87.5,0.0,111.5,,
 816B       ,19&deg;11.911'S,150&deg; 0.600'E,             437.8,8.0,77.2,10.49,13.6,0.0,163.2,,
 816C       ,19&deg;11.911'S,150&deg; 0.606'E,             437.8,12.0,109.6,11.26,10.3,0.0,250.0,,
 817A       ,18&deg; 9.496'S,149&deg;45.493'E,            1016.6,35.0,330.7,280.35,84.8,0.0,330.7,,
 817B       ,18&deg; 9.487'S,149&deg;45.505'E,            1015.7,22.0,204.0,211.12,103.5,0.0,204.0,,
 817C       ,18&deg; 9.489'S,149&deg;45.534'E,            1016.1,3.0,27.2,27.26,100.2,0.0,27.2,,
 817D       ,18&deg; 9.499'S,149&deg;45.509'E,            1015.8,46.0,429.7,22.21,5.2,0.0,700.0,,
 818A       ,18&deg; 3.767'S,150&deg; 2.533'E,             748.7,1.0,9.5,9.6,101.1,0.0,9.6,,
 818B       ,18&deg; 3.767'S,150&deg; 2.533'E,             744.8,32.0,302.9,314.57,103.9,0.0,302.9,,
 819A       ,16&deg;37.439'S,146&deg;19.486'E,             565.2,44.0,400.0,339.52,84.9,0.0,400.0,,
 820A       ,16&deg;38.221'S,146&deg;18.229'E,             278.0,17.0,144.3,146.14,101.3,0.0,144.3,,
 820B       ,16&deg;38.219'S,146&deg;18.218'E,             279.0,44.0,400.0,324.91,81.2,0.0,400.0,,
 821A       ,16&deg;38.793'S,146&deg;17.376'E,             212.7,43.0,400.0,382.94,95.7,0.0,400.0,,
 821B       ,16&deg;38.794'S,146&deg;17.366'E,             211.6,20.0,165.9,167.41,100.9,0.0,165.9,,
 822A       ,16&deg;25.379'S,146&deg;12.904'E,             955.2,47.0,433.9,387.52,89.3,0.0,433.9,,
 823A       ,16&deg;36.981'S,146&deg;47.037'E,            1638.4,13.0,119.8,123.73,103.3,0.0,119.8,,
 823B       ,16&deg;36.982'S,146&deg;47.054'E,            1637.9,84.0,805.4,754.85,93.7,0.0,805.4,,
 823C       ,16&deg;36.983'S,146&deg;47.065'E,            1637.8,24.0,227.0,186.04,82.0,0.0,1011.0,,
 824A       ,16&deg;26.704'S,147&deg;45.737'E,            1000.4,36.0,327.3,129.69,39.6,0.0,377.3,,
 824B       ,16&deg;26.703'S,147&deg;45.720'E,            1001.9,6.0,52.5,53.29,101.5,0.0,52.5,,
 824C       ,16&deg;26.705'S,147&deg;45.753'E,            1000.3,19.0,183.2,3.2,1.7,0.0,430.8,,
 824D       ,16&deg;26.690'S,147&deg;45.753'E,            1001.9,10.0,96.5,1.06,1.1,0.0,431.0,,
 825A       ,16&deg;30.948'S,148&deg; 9.457'E,             939.4,20.0,186.0,54.4,29.2,0.0,381.5,,
 825B       ,16&deg;30.961'S,148&deg; 9.457'E,             939.3,9.0,86.8,2.69,3.1,0.0,466.3,,
 826A       ,19&deg;13.530'S,150&deg; 0.597'E,             425.3,17.0,156.4,7.09,4.5,0.0,250.0,,
 827A       ,15&deg;17.700'S,166&deg;21.114'E,            2803.4,15.0,110.6,100.76,91.1,0.0,110.6,,
 827B       ,15&deg;17.700'S,166&deg;21.114'E,            2803.4,31.0,289.8,119.04,41.1,0.0,400.4,,
 828A       ,15&deg;17.280'S,166&deg;17.040'E,            3086.7,15.0,111.4,101.34,91.0,0.0,111.4,,
 828B       ,15&deg;17.280'S,166&deg;17.040'E,            3082.0,4.0,39.0,7.92,20.3,0.0,129.0,,
 829A       ,15&deg;18.900'S,166&deg;20.700'E,            2905.2,64.0,590.3,197.44,33.4,0.0,590.3,,
 829B       ,15&deg;18.900'S,166&deg;20.700'E,            2909.0,3.0,19.5,15.59,79.9,0.0,19.5,,
 829C       ,15&deg;18.900'S,166&deg;20.700'E,            2910.7,11.0,58.4,52.67,90.2,0.0,58.4,,
 830A       ,15&deg;57.000'S,166&deg;46.800'E,            1018.4,11.0,96.9,53.77,55.5,0.0,96.9,,
 830B       ,15&deg;57.000'S,166&deg;46.800'E,            1018.4,24.0,233.2,48.77,20.9,0.0,281.7,,
 830C       ,15&deg;57.000'S,166&deg;46.800'E,            1008.9,12.0,115.6,19.4,16.8,0.0,350.6,,
 831A       ,16&deg; 0.540'S,166&deg;40.320'E,            1066.4,15.0,115.5,25.85,22.4,0.0,116.5,,
 831B       ,16&deg; 0.540'S,166&deg;40.380'E,            1066.4,83.0,749.6,87.44,11.7,0.0,852.0,,
 832A       ,14&deg;47.760'S,167&deg;34.380'E,            3089.3,27.0,215.9,146.26,67.7,0.0,215.9,,
 832B       ,14&deg;47.760'S,167&deg;34.380'E,            3089.3,100.0,962.3,450.95,46.9,0.0,1106.7,,
 833A       ,14&deg;52.560'S,167&deg;52.800'E,            2628.5,26.0,199.5,97.75,49.0,0.0,199.5,,
 833B       ,14&deg;52.560'S,167&deg;52.800'E,            2629.0,99.0,923.7,519.54,56.2,0.0,1001.1,,
 834A       ,18&deg;34.056'S,177&deg;51.738'W,            2692.3,20.0,149.5,113.17,75.7,0.0,149.5,,
 834B       ,18&deg;34.050'S,177&deg;51.738'W,            2688.4,59.0,375.5,105.44,28.1,0.0,435.3,,
 835A       ,18&deg;30.061'S,177&deg;18.162'W,            2905.7,18.0,159.5,160.07,100.4,0.0,159.5,,
 835B       ,18&deg;30.050'S,177&deg;18.192'W,            2905.6,8.0,49.8,8.86,17.8,0.0,183.0,,
 836A       ,20&deg; 8.494'S,176&deg;30.008'W,            2455.4,9.0,38.2,24.46,64.0,0.0,38.2,,
 836B       ,20&deg; 8.505'S,176&deg;30.011'W,            2457.7,9.0,44.8,17.0,37.9,0.0,58.3,,
 837A       ,20&deg;13.307'S,176&deg;49.361'W,            2752.5,9.0,84.0,83.9,99.9,0.0,84.0,,
 837B       ,20&deg;13.319'S,176&deg;49.362'W,            2753.0,6.0,34.6,9.07,26.2,0.0,99.6,,
 838A       ,20&deg;49.618'S,176&deg;53.402'W,            2322.8,20.0,153.8,98.65,64.1,0.0,153.8,,
 838B       ,20&deg;49.629'S,176&deg;53.402'W,            2322.7,12.0,115.2,1.51,1.3,0.0,259.2,,
 839A       ,20&deg;41.531'S,176&deg;46.492'W,            2617.4,25.0,218.2,98.82,45.3,0.0,218.2,,
 839B       ,20&deg;42.539'S,176&deg;46.501'W,            2617.3,42.0,356.6,25.05,7.0,0.0,517.2,,
 840A       ,22&deg;13.249'S,175&deg;44.916'W,             743.3,1.0,4.5,4.11,91.3,0.0,4.5,,
 840B       ,22&deg;13.259'S,175&deg;44.918'W,             743.3,63.0,597.3,176.2,29.5,0.0,597.3,,
 840C       ,22&deg;13.234'S,175&deg;44.925'W,             743.3,13.0,123.5,74.83,60.6,0.0,259.5,,
 841A       ,23&deg;20.746'S,175&deg;17.871'W,            4809.8,21.0,186.6,70.25,       37.6,0.0,186.6,,
 841B       ,23&deg;20.741'S,175&deg;17.872'W,            4809.8,70.0,664.4,182.54,       27.5,0.0,834.2,,
 841C       ,23&deg;20.720'S,175&deg;17.878'W,            4809.8,0.0,0.0,0.0,           ,775.0,775.0,,
 842A       ,19&deg;20.160'N,159&deg; 5.280'W,            4430.2,1.0,9.5,9.66,      101.7,0.0,9.5,,
 842B       ,19&deg;20.160'N,159&deg; 5.280'W,            4430.4,10.0,72.3,35.65,       49.3,0.0,167.8,,
 842C       ,19&deg;20.160'N,159&deg; 5.340'W,            4430.4,0.0,0.0,0.0,           ,0.0,237.7,,
 843A       ,19&deg;20.520'N,159&deg; 5.700'W,            4411.6,1.0,9.7,1.39,14.3,0.0,237.7,,
 843B       ,19&deg;20.520'N,159&deg; 5.700'W,            4407.1,4.0,33.7,12.6,37.4,0.0,318.2,,
 843C       ,19&deg;20.520'N,159&deg; 5.700'W,            4404.4,1.0,4.2,4.22,100.5,0.0,4.2,,
 504B       , 1&deg;13.611'N, 83&deg;43.818'W,            3460.0,8.0,48.6,8.77,18.0,0.0,1621.5,,
 844A       , 7&deg;55.279'N, 90&deg;28.846'W,            3414.5,1.0,9.5,9.94,104.6,0.0,9.5,,
 844B       , 7&deg;55.279'N, 90&deg;28.846'W,            3414.5,31.0,290.9,289.92,99.7,0.0,290.9,,
 844C       , 7&deg;55.279'N, 90&deg;28.846'W,            3414.5,19.0,180.1,189.34,105.1,0.0,180.1,,
 844D       , 7&deg;55.279'N, 90&deg;28.846'W,            3414.5,1.0,9.5,10.12,106.5,0.0,33.5,,
 845A       , 9&deg;34.950'N, 94&deg;35.448'W,            3704.2,31.0,291.6,292.63,100.4,0.0,291.6,,
 845B       , 9&deg;34.931'N, 94&deg;35.376'W,            3704.2,21.0,199.5,195.23,97.9,0.0,202.6,,
 845C       , 9&deg;34.985'N, 94&deg;35.383'W,            3704.2,3.0,28.5,28.49,100.0,0.0,48.5,,
 846A       , 3&deg; 5.696'S, 90&deg;49.078'W,            3295.6,1.0,7.2,7.22,100.3,0.0,7.2,,
 846B       , 3&deg; 5.696'S, 90&deg;49.078'W,            3295.8,45.0,422.4,373.44,88.4,0.0,422.4,,
 846C       , 3&deg; 5.796'S, 90&deg;49.086'W,            3295.8,20.0,190.0,193.1,101.6,0.0,192.5,,
 846D       , 3&deg; 5.802'S, 90&deg;49.074'W,            3295.8,26.0,245.9,247.85,100.8,0.0,249.4,,
 847A       , 0&deg;11.593'N, 95&deg;19.227'W,            3334.3,1.0,9.5,9.52,100.2,0.0,9.5,,
 847B       , 0&deg;11.593'N, 95&deg;19.227'W,            3334.3,27.0,247.0,242.19,98.1,0.0,247.0,,
 847C       , 0&deg;11.585'N, 95&deg;19.189'W,            3334.3,25.0,230.3,225.71,98.0,0.0,232.3,,
 847D       , 0&deg;11.577'N, 95&deg;19.195'W,            3335.2,14.0,130.1,133.57,102.7,0.0,130.1,,
 848A       , 2&deg;59.634'S,110&deg;28.791'W,            3853.4,1.0,9.4,9.54,101.5,0.0,9.4,,
 848B       , 2&deg;59.634'S,110&deg;28.791'W,            3855.6,12.0,93.8,97.75,104.2,0.0,93.8,,
 848C       , 2&deg;59.651'S,110&deg;28.805'W,            3855.3,11.0,94.2,97.74,103.8,0.0,94.2,,
 848D       , 2&deg;59.660'S,110&deg;28.808'W,            3854.4,10.0,93.9,96.88,103.2,0.0,93.9,,
 849A       , 0&deg;10.983'N,110&deg;31.183'W,            3837.1,1.0,8.7,8.69,99.9,0.0,8.7,,
 849B       , 0&deg;10.983'N,110&deg;31.183'W,            3839.1,37.0,350.5,343.78,98.1,0.0,350.5,,
 849C       , 0&deg;10.991'N,110&deg;31.177'W,            3839.1,11.0,104.5,105.7,101.1,0.0,105.5,,
 849D       , 0&deg;10.993'N,110&deg;31.167'W,            3839.1,34.0,322.7,319.45,99.0,0.0,326.7,,
 850A       , 1&deg;17.837'N,110&deg;31.283'W,            3786.1,8.0,74.2,77.12,103.9,0.0,74.2,,
 850B       , 1&deg;17.827'N,110&deg;31.286'W,            3786.1,42.0,396.8,393.58,99.2,0.0,399.8,,
 851A       , 2&deg;46.223'N,110&deg;34.308'W,            3761.3,1.0,6.5,6.45,99.2,0.0,6.5,,
 851B       , 2&deg;46.223'N,110&deg;34.308'W,            3760.3,34.0,320.5,318.05,99.2,0.0,320.5,,
 851C       , 2&deg;46.214'N,110&deg;34.294'W,            3760.3,14.0,133.0,136.65,102.7,0.0,135.5,,
 851D       , 2&deg;46.214'N,110&deg;34.294'W,            3759.3,2.0,19.0,20.1,105.8,0.0,19.0,,
 851E       , 2&deg;46.213'N,110&deg;34.289'W,            3760.3,35.0,318.4,316.69,99.5,0.0,318.4,,
 852A       , 5&deg;17.566'N,110&deg; 4.579'W,            3861.0,1.0,5.8,5.86,101.0,0.0,5.8,,
 852B       , 5&deg;17.566'N,110&deg; 4.579'W,            3859.9,13.0,113.4,119.68,105.5,0.0,113.4,,
 852C       , 5&deg;17.551'N,110&deg; 4.562'W,            3859.8,13.0,117.3,125.59,107.1,0.0,117.3,,
 852D       , 5&deg;17.550'N,110&deg; 4.537'W,            3859.8,12.0,114.0,120.56,105.8,0.0,116.0,,
 853A       , 7&deg;12.661'N,109&deg;45.084'W,            3714.3,1.0,9.5,10.15,106.8,0.0,9.5,,
 853B       , 7&deg;12.661'N,109&deg;45.084'W,            3715.5,9.0,72.4,77.68,107.3,0.0,72.4,,
 853C       , 7&deg;12.650'N,109&deg;45.078'W,            3714.8,8.0,68.2,69.57,102.0,0.0,68.2,,
 853D       , 7&deg;12.651'N,109&deg;45.074'W,            3712.5,7.0,65.8,68.81,104.6,0.0,65.8,,
 853E       , 7&deg;12.651'N,109&deg;45.074'W,            3713.5,2.0,18.0,18.51,102.8,0.0,18.0,,
 854A       ,11&deg;13.433'N,109&deg;35.652'W,            3567.9,3.0,28.7,20.89,72.8,0.0,28.7,,
 854B       ,11&deg;13.433'N,109&deg;35.652'W,            3567.4,5.0,45.4,48.01,105.7,0.0,45.4,,
 854C       ,11&deg;13.431'N,109&deg;35.649'W,            3568.2,6.0,46.0,54.03,117.5,0.0,46.0,,
 855A       ,48&deg;26.563'N,128&deg;38.271'W,            2444.8,9.0,76.4,33.99,44.5,0.0,76.4,,
 855B       ,48&deg;26.568'N,128&deg;38.254'W,            2446.3,8.0,63.3,12.39,19.6,0.0,63.3,,
 855C       ,48&deg;26.571'N,128&deg;38.321'W,            2443.8,13.0,111.0,60.77,54.7,0.0,111.0,,
 855D       ,48&deg;26.542'N,128&deg;38.318'W,            2443.8,6.0,39.1,1.98,5.1,0.0,118.6,,
 856A       ,48&deg;26.201'N,128&deg;40.838'W,            2395.1,14.0,115.7,102.04,88.2,0.0,115.7,,
 856B       ,48&deg;26.102'N,128&deg;40.811'W,            2420.0,16.0,121.7,108.33,89.0,0.0,121.7,,
 856C       ,48&deg;26.042'N,128&deg;40.855'W,            2437.3,1.0,2.0,7.06,353.0,0.0,2.0,,
 856D       ,48&deg;26.026'N,128&deg;40.855'W,            2438.3,1.0,5.0,8.3,166.0,0.0,5.0,,
 856E       ,48&deg;26.009'N,128&deg;40.855'W,            2436.4,1.0,2.4,2.43,101.2,0.0,2.4,,
 856F       ,48&deg;26.018'N,128&deg;40.863'W,            2423.3,3.0,23.6,0.56,2.4,0.0,23.6,,
 856G       ,48&deg;26.016'N,128&deg;40.861'W,            2422.8,7.0,65.4,21.69,33.2,0.0,65.4,,
 856H       ,48&deg;26.020'N,128&deg;40.859'W,            2423.8,17.0,93.8,18.86,20.1,0.0,93.8,,
