Leg,Site,H,Age Model Type           ,Depth (mbsf),    Age (Ma),Control Point Comment
124,768.0,B,Initial Reports          ,146.4,3.18,base Mammoth Magnetochron
124,768.0,B,Initial Reports          ,151.0,3.4,base of Gauss magnetochron
124,768.0,B,Initial Reports          ,160.9,3.88,top of Cochiti magnetochron
124,768.0,B,Initial Reports          ,163.7,3.97,base of Cochiti magnetochron
124,768.0,B,Initial Reports          ,167.2,4.1,top of Nunivak Magnetochron
124,768.0,B,Initial Reports          ,170.0,4.24,base of Nunivak magnetochron
124,768.0,B,Initial Reports          ,175.7,4.4,top of Sidufjall Magnetochron
124,768.0,B,Initial Reports          ,180.0,4.47,base of Sidufjall Magnetochron
124,768.0,B,Initial Reports          ,181.0,4.57,top of Thvera Magnetochron
124,768.0,B,Initial Reports          ,183.0,4.77,base of Thvera Magnetochron
124,768.0,B,Initial Reports          ,195.0,5.35,base of Gilbert Magnetochron
124,768.0,B,Initial Reports          ,200.0,5.68,top of R-Subchron
124,768.0,B,Initial Reports          ,203.0,5.89,base of R-subchron
124,768.0,B,Post Moratorium          ,29.23,0.274,FO E. huxleyi
124,768.0,B,Post Moratorium          ,53.28,0.474,LO P. lacunosa
124,768.0,B,Post Moratorium          ,106.85,1.27,LO H. sellii
124,768.0,B,Post Moratorium          ,114.89,1.59,FO G. oceanica s.l.
124,768.0,B,Post Moratorium          ,118.38,1.48,LO C. tropicus
124,768.0,B,Post Moratorium          ,124.4,1.88,LO D.  brouweri
124,768.0,B,Post Moratorium          ,128.66,2.29,LO D. pentaradiatus
124,768.0,B,Post Moratorium          ,133.52,2.42,LO D. surculus
124,768.0,B,Post Moratorium          ,155.16,3.51,LO R. pseudoumbilica
124,768.0,B,Post Moratorium          ,158.8,4.0,LO P. lacunosa
124,768.0,B,Post Moratorium          ,195.01,5.26,LO D. quinqueramus
124,768.0,B,Post Moratorium          ,228.4,5.8,LO D. berggrenii
124,768.0,C,Post Moratorium          ,158.13,8.2,FO D. quinqueramus
124,768.0,C,Post Moratorium          ,470.95,8.7,LO D. bollii
124,768.0,C,Post Moratorium          ,493.16,8.85,LO D. hamatus
124,768.0,C,Post Moratorium          ,636.16,9.0,LO C. coalitus
124,768.0,C,Post Moratorium          ,713.66,10.0,FO D. hamatus
124,768.0,C,Post Moratorium          ,735.5,10.8,FO C. coalitus
124,769.0,A,Initial Reports          ,62.4,0.73,base Bruhnes magnetochron
124,769.0,A,Post Moratorium          ,21.65,0.274,FO E. huxleyi
124,769.0,A,Post Moratorium          ,37.65,0.474,LO P. lacunosa
124,769.0,B,Initial Reports          ,61.8,0.73,base of Bruhnes Magnetochron
124,769.0,B,Initial Reports          ,79.5,0.91,top of Jaramillo Magnetochron
124,769.0,B,Initial Reports          ,84.5,0.98,base of Jaramillo Magnetochron
124,769.0,B,Initial Reports          ,93.6,1.66,top of Olduvai Magnetochron
124,769.0,B,Initial Reports          ,102.3,1.88,base of Olduvai magnetochron
124,769.0,B,Initial Reports          ,104.3,2.01,top of Reunion 2 Magnetochron
124,769.0,B,Initial Reports          ,104.7,2.04,base of Reunion 2 Magnetochron
124,769.0,B,Initial Reports          ,114.5,2.47,base of Matuyama Magnetochron
124,769.0,B,Initial Reports          ,117.0,2.92,Top of Kaena Magnetochron
124,769.0,B,Initial Reports          ,132.6,3.97,Base of Cochiti Magnetochron
124,769.0,B,Initial Reports          ,135.2,4.1,Top opf Nunivak Magnetochron
124,769.0,B,Initial Reports          ,138.3,4.24,Base of Nunivak Magnetochron
124,769.0,B,Initial Reports          ,141.6,4.4,Top of Sidufjall Magnetochron
124,769.0,B,Initial Reports          ,143.4,4.47,Base of Sidufjall Magnetochron
124,769.0,B,Initial Reports          ,145.5,4.57,Top of Thvera Magnetochron
124,769.0,B,Initial Reports          ,150.3,4.77,Base of Thvera Magnetochron
124,769.0,B,Initial Reports          ,164.2,5.35,Base of Gilbert Magnetochron
124,769.0,B,Initial Reports          ,168.5,5.53,Top of Chron 5  R-subchron
124,769.0,B,Initial Reports          ,170.1,5.68,Base of Chron 5  R-subchron
124,769.0,B,Initial Reports          ,180.6,6.37,Top of Chron 6  N-subchron
124,769.0,B,Initial Reports          ,181.5,6.5,Base of Chron 6  N-subchron 
124,769.0,B,Initial Reports          ,182.1,6.7,Top of Chron 6  N-subchron
124,769.0,B,Initial Reports          ,183.8,6.78,Base of Chron 6  N-subchron
124,769.0,B,Initial Reports          ,184.8,6.85,Base of Chron 6
124,769.0,B,Initial Reports          ,191.5,7.28,Base of Chron 7
124,769.0,B,Initial Reports          ,193.35,7.35,Top of Chron 8  N-subcrhon
124,769.0,B,Initial Reports          ,194.5,7.41,Base of Chron 8  N-subchron
124,769.0,B,Initial Reports          ,199.7,7.9,Base of Chron 8
124,769.0,B,Initial Reports          ,204.9,8.21,Base of Chron 9
124,769.0,B,Initial Reports          ,207.2,8.41,top of Chron 10  N-subchron
124,769.0,B,Initial Reports          ,209.2,8.5,Base of Chron 10  N-subchron
124,769.0,B,Initial Reports          ,211.3,8.71,Top of Chron 10  N-subchron
124,769.0,B,Initial Reports          ,212.8,8.8,Base of Chron 10  N-subchron
124,769.0,B,Initial Reports          ,213.5,8.92,Base of Chron 10
124,769.0,B,Post Moratorium          ,21.65,0.274,FO E. huxleyi
124,769.0,B,Post Moratorium          ,49.7,0.474,LO P. lacunosa
124,769.0,B,Post Moratorium          ,82.2,0.93,LO small Gephyrocapsa acme
124,769.0,B,Post Moratorium          ,86.2,1.27,LO H. sellii
124,769.0,B,Post Moratorium          ,88.2,1.48,LO C. tropicus
124,769.0,B,Post Moratorium          ,91.6,1.59,FO G. oceanica s.l.
124,769.0,B,Post Moratorium          ,102.2,1.88,LO D. brouweri
124,769.0,B,Post Moratorium          ,105.28,2.29,LO D. pentaradiatus
124,769.0,B,Post Moratorium          ,110.9,2.42,LO D. surculus
124,769.0,B,Post Moratorium          ,127.7,3.51,LO R. pseudoumbilica
124,769.0,B,Post Moratorium          ,127.71,4.0,FO P. lacunosa
124,769.0,B,Post Moratorium          ,167.2,5.26,LO D. quinqueramus
124,769.0,B,Post Moratorium          ,167.21,5.8,LO D. berggrenii
124,769.0,B,Post Moratorium          ,196.42,8.2,FO D. quinqueramus
124,769.0,B,Post Moratorium          ,213.12,8.85,LO D. hamatus
124,769.0,B,Post Moratorium          ,224.42,10.0,FO D. hamatus
124,769.0,B,Post Moratorium          ,226.27,10.8,LO C. coalitus
124,770.0,B,Initial Reports          ,152.5,4.0,N19
124,770.0,B,Initial Reports          ,248.9,6.95,D. penultima
124,770.0,B,Initial Reports          ,373.75,21.1,S. delmontensis
124,770.0,B,Initial Reports          ,379.0,26.950001,NP25 - NP24
124,770.0,B,Initial Reports          ,392.0,32.099998,NP23
124,770.0,B,Initial Reports          ,395.2,33.200001,T. tuberosa
124,770.0,B,Initial Reports          ,399.0,34.349998,NP22
124,770.0,B,Initial Reports          ,404.0,35.799999,NP21
124,770.0,B,Initial Reports          ,409.5,38.25,NP18-NP20
124,770.0,B,Initial Reports          ,415.0,41.049999,NP17
124,770.0,B,Initial Reports          ,420.2,42.049999,P. chalara
124,770.0,B,Post Moratorium          ,388.31,28.200001,LO Sphenolithus distentus
124,770.0,B,Post Moratorium          ,398.2,34.599998,LO Reticulofenestra umbilica
124,770.0,B,Post Moratorium          ,400.2,35.099998,LO Ericsonia formosa
124,770.0,B,Post Moratorium          ,407.95,36.700001,LO Discoaster barbadiensis
124,770.0,B,Post Moratorium          ,412.06,40.0,LO Chiasmolithus grandis
124,771.0,A,Initial Reports          ,103.2,2.65,N21
124,771.0,A,Initial Reports          ,152.3,6.25,N17
124,771.0,A,Initial Reports          ,156.05,6.7,NN11
124,771.0,A,Initial Reports          ,169.6,8.55,NN10
124,771.0,A,Initial Reports          ,174.6,9.45,NN9
124,771.0,A,Initial Reports          ,175.7,10.3,N15
124,771.0,A,Initial Reports          ,188.7,10.4,N14
124,771.0,A,Initial Reports          ,194.05,10.8,NN8
124,771.0,A,Initial Reports          ,194.5,11.45,N13
124,771.0,A,Initial Reports          ,195.9,11.8,D. petterssoni
124,771.0,A,Initial Reports          ,204.2,12.2,NN7
124,771.0,A,Initial Reports          ,208.1,12.7,N12/N11
124,771.0,A,Initial Reports          ,214.8,13.95,NN16
124,771.0,A,Initial Reports          ,219.7,14.55,N10
124,771.0,A,Initial Reports          ,223.4,15.1,N9
124,771.0,A,Initial Reports          ,228.45,15.9,N8
124,771.0,A,Initial Reports          ,232.2,16.299999,C. costata
124,771.0,A,Post Moratorium          ,21.3,0.274,FO E. huxleyi
124,771.0,A,Post Moratorium          ,101.79,3.51,LO R. pseudoumbilica
124,771.0,A,Post Moratorium          ,102.7,4.0,FO P. lacunosa
124,771.0,A,Post Moratorium          ,144.88,4.24,LO A. tricorniculatus
124,771.0,A,Post Moratorium          ,145.97,4.44,FO C. rugosus
124,771.0,A,Post Moratorium          ,146.09,5.26,LO D. quinqueramus
124,771.0,A,Post Moratorium          ,146.091,5.8,LO D. berggrenii
124,771.0,A,Post Moratorium          ,164.45,8.2,FO D. quinqueramus
124,771.0,A,Post Moratorium          ,164.951,8.7,LO D. bollii
124,771.0,A,Post Moratorium          ,173.97,8.85,LO D. hamatus
124,771.0,A,Post Moratorium          ,186.85,9.0,LO C. coaltus
124,771.0,A,Post Moratorium          ,192.72,10.0,FO D. hamatus
124,771.0,A,Post Moratorium          ,194.95,10.8,FO C. coalitus
124,771.0,A,Post Moratorium          ,214.35,11.2,FO D. kugleri
124,771.0,A,Post Moratorium          ,214.351,11.3,LO C. floridanus
124,771.0,A,Post Moratorium          ,216.35,13.17,LO S. hetermorphus
125,782.0,A,Initial Reports          ,9.8,0.26,FO Emiliania huxleyi
125,782.0,A,Initial Reports          ,28.8,0.4,LO Pseudoemiliania lacunosa
125,782.0,A,Initial Reports          ,33.2,1.45,LO Calcidiscus macintyrei
125,782.0,A,Initial Reports          ,38.3,1.66,FO Geophyrocapsa oceanica
125,782.0,A,Initial Reports          ,57.3,1.98,LO Discoaster brouweri
125,782.0,A,Initial Reports          ,76.3,2.4,LO D. surculus
125,782.0,A,Initial Reports          ,115.0,3.4,LO Reticulofenestra pseudoumbilica
125,782.0,A,Initial Reports          ,124.6,3.5,FO P. lacunosa
125,782.0,A,Initial Reports          ,134.4,3.6,LO Amaurolithus tricorniculatus
125,782.0,A,Initial Reports          ,163.2,5.6,LO D. quinqueramus
125,782.0,A,Initial Reports          ,221.0,8.3,LO D. neohamatus
125,782.0,A,Initial Reports          ,251.1,10.8,LO D. kugleri
125,782.0,A,Initial Reports          ,280.5,13.0,LO C. floridanus
125,782.0,A,Initial Reports          ,313.1,14.4,LO Sphenolithus heteromorphus
125,782.0,A,Initial Reports          ,332.1,23.700001,LO D. bisectus
125,782.0,A,Initial Reports          ,363.5,30.1,FO S. ciperoensis
125,782.0,A,Initial Reports          ,387.6,39.599998,LO C. grandis
125,782.0,A,Initial Reports          ,389.8,42.200001,LO D. bifax
125,782.0,A,Post Moratorium          ,154.51,5.5,LO Discoaster quinqueramus
125,782.0,A,Post Moratorium          ,154.52,5.6,LO Discoaster berggrenii
125,782.0,A,Post Moratorium          ,182.85,6.5,FO  Amaurolithus primus
125,782.0,A,Post Moratorium          ,231.37,8.2,FO Discoaster berggrenii
125,782.0,A,Post Moratorium          ,242.72,8.2,FO Discoaster quinqueramus
125,782.0,A,Post Moratorium          ,245.72,9.0,LO Catinaster coalitus/LO C. calyculus
125,782.0,A,Post Moratorium          ,248.72,10.0,FO Catinaster calyculus
125,782.0,A,Post Moratorium          ,251.09,10.3,FO Catinaster coalitus
125,782.0,A,Post Moratorium          ,253.49,10.5,LO Discoaster kugleri
125,782.0,A,Post Moratorium          ,278.8,13.1,FO Discoaster kugleri
125,782.0,A,Post Moratorium          ,312.61,14.4,LO Sphenolithus heteromorphus
125,782.0,A,Post Moratorium          ,329.7,17.1,FO Sphenolithus heteromorphus
125,782.0,A,Post Moratorium          ,330.04,23.700001,LO Reticulofenestra bisecta
125,782.0,A,Post Moratorium          ,331.85,25.200001,LO Sphenolithus ciperoensis
125,782.0,A,Post Moratorium          ,342.21,28.200001,LO Sphenolithus predistentus/LO S. distentus
125,782.0,A,Post Moratorium          ,361.18,30.200001,FO Sphenolithus ciperoensis
125,782.0,A,Post Moratorium          ,362.25,33.0,LO Isthmolithus recurvus
125,782.0,A,Post Moratorium          ,363.48,34.200001,FO Sphenolithus distentus
125,782.0,A,Post Moratorium          ,370.5,35.099998,LO Coccolithus formosus
125,782.0,A,Post Moratorium          ,375.15,36.700001,LO Discoaster saipanensis/LO D. barbadiensis
125,782.0,A,Post Moratorium          ,375.16,37.0,LO Reticulofenestra reticulata
125,782.0,A,Post Moratorium          ,382.81,37.799999,FO Isthmolithus recurvus
125,782.0,A,Post Moratorium          ,383.8,39.799999,FO Chiasmolithus oamaruensis
125,782.0,A,Post Moratorium          ,385.13,40.0,LO Chiasmolithus grandis/ C. expansus
125,782.0,A,Post Moratorium          ,389.8,42.299999,LO Chiasmolithus solitus
125,782.0,A,Post Moratorium          ,390.52,46.0,FO Reticulofenestra umbilica
125,786.0,A,Initial Reports          ,0.2,1.7,FO G. oceanica
125,786.0,A,Initial Reports          ,3.9,2.4,FO D. surculus
125,786.0,A,Initial Reports          ,6.9,2.6,LO D. tamalis
125,786.0,A,Initial Reports          ,24.5,3.4,LO Sphenolithus spp.
125,786.0,A,Initial Reports          ,28.7,3.6,LO A. delicatus
125,786.0,A,Initial Reports          ,31.8,5.6,LO D. quinqueramus
125,786.0,A,Initial Reports          ,41.4,6.5,FO A. delicatus
125,786.0,A,Initial Reports          ,47.6,8.3,FO D. quinqueramus
125,786.0,A,Initial Reports          ,49.5,10.0,FO D. hamatus
125,786.0,A,Initial Reports          ,57.1,10.8,LO D. kugleri
125,786.0,A,Initial Reports          ,68.9,14.4,LO S. heteromorphus
125,786.0,A,Initial Reports          ,85.1,23.700001,LO D. bisectus
125,786.0,A,Initial Reports          ,92.3,30.1,FO S. ciperoensis
125,786.0,A,Initial Reports          ,94.8,34.099998,FO S. distentus
125,786.0,A,Initial Reports          ,95.7,35.099998,LO E. formosa
125,786.0,A,Initial Reports          ,97.7,37.799999,FO I. recurvus
125,786.0,A,Initial Reports          ,102.9,39.599998,LO C. grandis
125,786.0,A,Initial Reports          ,105.7,42.200001,FO S. predistentus
125,786.0,A,Initial Reports          ,107.5,42.799999,FO D. saipanensis
126,787.0,B,Initial Reports          ,18.49,3.5,LO R. pseudoumbilica
126,787.0,B,Initial Reports          ,35.6,4.6,FO C. rugosus
126,787.0,B,Initial Reports          ,35.61,8.55,Zone CN8
126,787.0,B,Initial Reports          ,36.2,23.700001,LO R. bisecta
126,787.0,B,Initial Reports          ,54.95,24.209999,base of 3rd normal in Anomaly 6c
126,787.0,B,Initial Reports          ,126.6,27.01,top of 2nd normal in Anomaly 8
126,787.0,B,Initial Reports          ,170.92,27.74,base of 2nd normal in Anomaly 8
126,787.0,B,Initial Reports          ,230.04,28.15,top of 1st normal in Anomaly 9
126,787.0,B,Initial Reports          ,251.7,28.200001,LO of S. distentus
126,787.0,B,Initial Reports          ,290.85,28.74,base of 1st normal in anomaly 9
126,788.0,C,Initial Reports          ,253.62,3.88,Gilbert R to N
126,788.0,D,Initial Reports          ,257.82,3.97,Gilbert N to R
126,788.0,D,Initial Reports          ,262.25,4.1,Gilbert R to N
126,788.0,D,Initial Reports          ,301.75,4.24,Gilbert N to R
126,788.0,D,Initial Reports          ,315.85,4.4,Gilbert R to N
126,788.0,D,Initial Reports          ,320.96,4.47,Gilbert N to R
126,788.0,D,Initial Reports          ,325.82,4.57,Gilbert R to N
126,788.0,D,Initial Reports          ,364.28,4.77,Gilbert N to R
126,790.0,C,Initial Reports          ,103.5,0.108,Blake Magnetochron
126,790.0,C,Initial Reports          ,187.75,0.275,FO E. huxleyi
126,790.0,C,Initial Reports          ,215.05,0.41,LO A. angelinum
126,790.0,C,Initial Reports          ,219.1,0.46,LO P. lacunosa
126,790.0,C,Initial Reports          ,243.5,0.73,Bruhnes/Matuyama magnetochron boundary
126,790.0,C,Initial Reports          ,250.9,0.83,Reticulofenestra sp. A
126,790.0,C,Initial Reports          ,256.8,0.91,top of Jaramillo magnetochron
126,790.0,C,Initial Reports          ,262.95,0.98,bottom of Jaramillo magnetochron
126,790.0,C,Post Moratorium          ,133.4,0.085,OA E. huxleyi
126,790.0,C,Post Moratorium          ,182.9,0.275,FO E. huxleyi
126,790.0,C,Post Moratorium          ,187.9,0.3,LO Druppatractus acquilonius
126,790.0,C,Post Moratorium          ,209.1,0.41,LO Axoprunum angelinum
126,790.0,C,Post Moratorium          ,218.4,0.46,LO Pseudoemiliania lacunosa
126,790.0,C,Post Moratorium          ,243.5,0.73,Bruhnes/Matuyama boundary
126,790.0,C,Post Moratorium          ,251.9,0.83,LO R. asanoi
126,790.0,C,Post Moratorium          ,256.8,0.91,top of Jaramillo
126,790.0,C,Post Moratorium          ,263.0,0.98,bottom of Jaramillo
126,791.0,B,Initial Reports          ,517.95,0.275,FO E. huxleyi
126,791.0,B,Initial Reports          ,611.1,0.41,LO A. angelinum
126,791.0,B,Initial Reports          ,659.25,0.46,LO P. lacunosa
126,791.0,B,Initial Reports          ,750.0,0.73,Bruhnes/Matuyama magnetochron boundary
126,791.0,B,Initial Reports          ,778.0,0.83,Reticulofenestra sp. A
126,791.0,B,Initial Reports          ,800.05,0.91,top of Jaramillo magnetochron
126,791.0,B,Initial Reports          ,824.2,0.98,bottom of Jaramillo magnetochron
126,791.0,B,Post Moratorium          ,279.8,0.085,OA E. huxleyi
126,791.0,B,Post Moratorium          ,494.0,0.275,FO E. huxleyi
126,791.0,B,Post Moratorium          ,535.3,0.3,LO D. acquilonius
126,791.0,B,Post Moratorium          ,613.0,0.41,LO A. angelinum
126,791.0,B,Post Moratorium          ,659.2,0.46,LO P. lacunosa
126,791.0,B,Post Moratorium          ,750.0,0.73,Bruhnes/Matuyama boundary
126,791.0,B,Post Moratorium          ,778.6,0.83,LO R. asanoi
126,791.0,B,Post Moratorium          ,800.0,0.91,top of Jaramillo
126,791.0,B,Post Moratorium          ,824.6,0.98, 
126,792.0,A,Initial Reports          ,21.98,0.275,FO E. huxleyi
126,792.0,A,Initial Reports          ,34.8,0.46,LO P. lacunosa
126,792.0,A,Initial Reports          ,58.95,0.73,Bruhnes/Matuyama magnetochron boundary
126,792.0,A,Initial Reports          ,75.44,0.83,LO R. sp. A acme
126,792.0,A,Initial Reports          ,82.6,0.91,top of Jaramillo magnetochron
126,792.0,A,Initial Reports          ,89.0,0.98,base of Jarmillo magnetochron
126,792.0,B,Initial Reports          ,31.94,0.275,FO E. huxleyi
126,792.0,B,Initial Reports          ,60.3,0.73,Bruhnes/Matuyama magnetochron boundary
126,792.0,B,Initial Reports          ,81.23,0.83,LO R. sp. A acme
126,792.0,B,Initial Reports          ,81.5,0.91,top of Jaramillo magnetochron
126,792.0,B,Initial Reports          ,98.28,1.89,LO D. brouweri
126,792.0,B,Initial Reports          ,105.1,2.35,LO D. pentaradiatus
126,792.0,B,Initial Reports          ,112.88,2.41,LO D. surculus
126,792.0,B,Initial Reports          ,125.8,2.47,top of magnetic Anomaly 2A
126,792.0,B,Initial Reports          ,141.72,2.65,LO D. tamalis
126,792.0,B,Post Moratorium          ,7.9,0.085,OA E. huxleyi
126,792.0,B,Post Moratorium          ,27.7,0.275,FO E. huxleyi
126,792.0,B,Post Moratorium          ,34.8,0.46,LO P. lacunosa
126,792.0,B,Post Moratorium          ,58.9,0.73,Bruhnes/Matuyama
126,792.0,B,Post Moratorium          ,72.8,0.83,LO R. asanoi
126,792.0,B,Post Moratorium          ,82.6,0.91,top of Jaramillo
126,792.0,B,Post Moratorium          ,89.1,0.98, 
126,792.0,C,Initial Reports          ,141.9,2.65,LO D. tamalis
126,792.0,D,Initial Reports          ,141.22,2.65,LO D.tamalis
126,792.0,E,Initial Reports          ,183.3,3.4,base of magnetic Anomaly 2A
126,792.0,E,Initial Reports          ,183.7,3.56,LO R. pseudoumbilica
126,792.0,E,Initial Reports          ,189.25,3.7,FO P. lacunosa
126,792.0,E,Initial Reports          ,189.26,5.3,LO D. quinqueramus
126,792.0,E,Initial Reports          ,207.9,6.37,top of normal between magnetic anomalies 3A & 4
126,792.0,E,Initial Reports          ,217.9,6.7,top or magnetic Anomaly 4
126,792.0,E,Initial Reports          ,218.6,6.78,base of 1st normal in magnetic Anomaly 4
126,792.0,E,Initial Reports          ,252.4,7.28,base of 2nd normal in magnetic anomaly 4
126,792.0,E,Initial Reports          ,274.1,8.2,FO D. berggrenii
126,792.0,E,Initial Reports          ,274.2,8.9,LO D. hamatus
126,792.0,E,Initial Reports          ,274.3,8.92,top of magnetic Anomaly 5
126,792.0,E,Initial Reports          ,280.82,10.0,FO C/ calyculus
126,792.0,E,Initial Reports          ,294.7,10.8,FO C. coalitus
126,792.0,E,Initial Reports          ,329.28,11.5,FO D. kugleri
126,792.0,E,Initial Reports          ,336.71,11.89,top of 2nd normal in magnetic Anomaly 5A
126,792.0,E,Initial Reports          ,357.8,13.2,LO S. heteromorphus
126,792.0,E,Initial Reports          ,357.9,18.6,LO S. belemnos
126,792.0,E,Initial Reports          ,366.94,20.5,FO S. belemnos
126,792.0,E,Initial Reports          ,406.1,23.200001,FO D. druggii
126,792.0,E,Initial Reports          ,406.2,23.700001,LO R. bisecta
126,792.0,E,Initial Reports          ,419.15,26.860001,top of 1st normal in magnetic Anomaly 8
126,792.0,E,Initial Reports          ,471.0,28.15,top of 1st normal in magnetic Anomaly 9
126,792.0,E,Initial Reports          ,486.32,28.200001,LO S. distentus
126,792.0,E,Initial Reports          ,626.15,28.74,base of 1st normal in magnetic Anomaly 9
126,792.0,E,Initial Reports          ,661.0,28.799999,top of 2nd normal in magnetic Anomaly 9
126,793.0,A,Initial Reports          ,17.14,0.275,FO E. huxleyi
126,793.0,A,Initial Reports          ,33.24,0.46,LO P. lacunosa
126,793.0,A,Initial Reports          ,76.3,0.73,Bruhnes/Matuyama
126,793.0,A,Initial Reports          ,79.81,0.91,top of Jaramillo
126,793.0,B,Initial Reports          ,597.06,15.27,base of 2nd normal in Mag Anomaly 5B
126,793.0,B,Initial Reports          ,665.2,16.219999,base of 3rd tormal in Anomaly in 5C
126,793.0,B,Initial Reports          ,713.23,17.9,FO S. heteromorphus
126,793.0,B,Initial Reports          ,737.2,21.709999,base of 2nd normal in Anomaly 6A
126,793.0,B,Initial Reports          ,742.0,21.9,top of 1st normal in Anomaly 6AA
126,793.0,B,Initial Reports          ,799.32,25.200001,LO of S. ciperoensis
126,793.0,B,Initial Reports          ,824.2,27.74,base of 2nd normal in anomaly 8
126,793.0,B,Initial Reports          ,867.96,28.200001,LO S. distentus
126,793.0,B,Initial Reports          ,878.4,28.15,top of first normal in Anomaly 5
126,793.0,B,Initial Reports          ,967.9,29.209999,base of 2nd normal in Anomaly 9
126,793.0,B,Initial Reports          ,1095.62,29.73,top of 1st normal in Anomaly 10
126,793.0,B,Initial Reports          ,1136.15,30.200001,FO S. ciperoensis
126,793.0,B,Initial Reports          ,1255.5,30.33,top of 2nd normal in anomaly 10
127,794.0,A,Post Moratorium          ,24.6,0.73,Brunhes/Matuyama
127,794.0,A,Post Moratorium          ,31.1,0.9,Top Jaramillo
127,794.0,A,Post Moratorium          ,34.1,0.98,Base Jaramilo
127,794.0,A,Post Moratorium          ,54.6,1.66,Top Olduvai
127,794.0,A,Post Moratorium          ,58.8,1.88,Base Olduvai
127,794.0,A,Post Moratorium          ,75.4,2.47,Matuyama/Gauss
127,794.0,A,Post Moratorium          ,89.8,2.92,Top Kaena
127,794.0,A,Post Moratorium          ,92.3,2.99,Base Kaena
127,794.0,A,Post Moratorium          ,95.5,3.08,Top Mammoth
127,794.0,A,Post Moratorium          ,98.8,3.18,Base Mammoth
127,794.0,A,Post Moratorium          ,108.2,3.4,Gauss/Gilbert
127,794.0,A,Post Moratorium          ,125.1,3.88,Top Cochiti
127,794.0,A,Post Moratorium          ,126.7,3.97,Base Cochiti
127,794.0,A,Post Moratorium          ,133.8,4.1,Top Nunivak
127,794.0,A,Post Moratorium          ,135.9,4.24,Base Nunivak
127,794.0,A,Post Moratorium          ,139.9,4.4,Top Sidufjiall
127,794.0,A,Post Moratorium          ,140.4,4.47,Base Sidufjiall
127,794.0,A,Post Moratorium          ,143.8,4.57,Top Thvera
127,794.0,A,Post Moratorium          ,148.5,4.77,Base Thvera
127,794.0,B,Initial Reports          ,25.5,0.73,Brunhes/Matuyama
127,794.0,B,Initial Reports          ,34.0,0.98,Bottom of Jaramillo
127,794.0,B,Initial Reports          ,55.5,1.66,Top of Olduvai
127,794.0,B,Initial Reports          ,75.4,2.47,Matuyama/Gauss
127,794.0,B,Initial Reports          ,92.4,2.99,Bottom of Kaena
127,794.0,B,Initial Reports          ,108.3,3.4,Gauss/Gilbert
127,794.0,B,Initial Reports          ,148.4,4.77,Bottom of Thvera
127,794.0,B,Initial Reports          ,216.9,6.4,Base of Neodenticula kamtschatica Zone
127,794.0,B,Initial Reports          ,255.7,7.2,Top of Thalassionema schraderi
127,794.0,B,Initial Reports          ,293.5,7.9,LAD of Denticulopsis katayamae
127,794.0,B,Initial Reports          ,530.5,14.4,LAD of Sphenolithus heteromorphus Zone
127,794.0,B,Initial Reports          ,540.0,16.0,FAD of Globigerina bulloides
127,795.0,A,Initial Reports          ,35.0,0.73,Brunes/Matuyama
127,795.0,A,Initial Reports          ,87.0,1.66,Top of Olduvai
127,795.0,A,Initial Reports          ,151.9,2.5,LAD of Neodenticula kamtschatica
127,795.0,A,Initial Reports          ,200.9,3.5,FAD of Neodenticula koizumii
127,795.0,A,Initial Reports          ,327.2,5.3,Base of Thalassiosira oestrupii Zone
127,795.0,A,Post Moratorium          ,35.0,0.73,Brunes/Matuyama
127,795.0,A,Post Moratorium          ,46.0,0.9,Top of Jaramillo
127,795.0,A,Post Moratorium          ,48.6,0.98,Base of Jaramillo
127,795.0,A,Post Moratorium          ,87.0,1.66,Top Olduvai
127,795.0,A,Post Moratorium          ,97.2,1.88,Base of Olduvai
127,795.0,A,Post Moratorium          ,137.9,2.47,Matuyama/Gauss
127,795.0,A,Post Moratorium          ,239.0,3.4,Gauss/Gilbert
127,795.0,B,Initial Reports          ,394.4,6.4,FAD of Neodenticula kamtschatica
127,795.0,B,Initial Reports          ,481.1,9.0,FAD of Denticulopsis dimorpha
127,795.0,B,Initial Reports          ,560.5,10.7,Rapid Decrease Datum of Denticulopsis praedimorpha
127,795.0,B,Initial Reports          ,605.7,11.6,LAD of Cyclicargolithus floridanus
127,795.0,B,Initial Reports          ,635.3,13.3,FAD of Denticulopsis praedimorpha
127,796.0,A,Initial Reports          ,22.2,0.3,LAD of Rhizosolenia curvirostris
127,796.0,A,Initial Reports          ,50.7,0.93,LAD of Actinocyclus oculatus
127,796.0,A,Initial Reports          ,58.7,1.8,LAD of Neodenticula koizumii
127,796.0,A,Initial Reports          ,88.1,2.5,LAD of Neodenticula kamtschatica
127,796.0,A,Initial Reports          ,184.7,5.3,Base of Thalassiosira oestrupii Zone
127,796.0,B,Initial Reports          ,252.7,6.4,FAD of Neodenticula kamtschatica
127,796.0,B,Initial Reports          ,451.8,16.0,FAD of Globigerina bulloides
127,797.0,B,Initial Reports          ,81.9,1.8,FAD of Actinocyclus oculatus
127,797.0,B,Initial Reports          ,166.4,3.5,FAD of Neodenticula koizumii
127,797.0,B,Initial Reports          ,243.4,5.3,Base of Thalassiosira oestrupii Zone
127,797.0,B,Initial Reports          ,350.0,7.2,Base of Rouxia californica Zone
127,797.0,B,Initial Reports          ,369.6,11.6,LAD of Cyclicargolithus floridanus
